Geo Title,Cornu Title,Cornu Title Other,lat,lon,Cornu Region,Geo Prov,Geo Subregion,Cornu URI,Status,Match Method
??????,??????,??????,36.32809,43.127,Aqur,????,???? ?????,MAWSIL_431E363N_S,exact,exact
???????,???????,???????,34.10682,42.38707,Aqur,????,???? ?????,HADITHA_423E341N_S,NA,exact
???????,???????,???????,36.02054,43.39249,Aqur,????,???? ?????,HADITHA_433E360N_S,exact,exact
???????,???????,???????,37.11078,42.72248,Aqur,????,???? ?????,HASANIYYA_427E371N_S,exact,exact
?????,?????,?????,36.32446,41.89101,Aqur,????,???? ?????,SINJAR_418E363N_S,exact,exact
??????,??????,??????? ??? ??????,36.2374,41.62102,Aqur,????,???? ?????,JIBAL_416E362N_S,exact,exact
???,???,???,36.47417,42.758,Aqur,????,???? ?????,BALAD_427E364N_S,exact,exact
?????,?????,?????,36.99109,41.72002,Aqur,????,???? ?????,ADHRAMA_417E369N_S,exact,exact
??????,??????,??????,36.95274,42.07551,Aqur,????,???? ?????,BARQAID_420E369N_S,exact,exact
??????,??????,??????,37.05514,41.22167,Aqur,????,???? ?????,NASIBIN_412E370N_S,exact,exact
????,????,????,37.18527,40.94689,Aqur,????,???? ?????,DARA_409E371N_S,exact,exact
???????,???????,???????,36.98749,40.42704,Aqur,????,???? ?????,KAFARTUTHA_404E369N_S,exact,exact
??? ?????,??? ?????,??? ?????,36.83758,40.06404,Aqur,????,???? ?????,RASAYN_400E368N_S,exact,exact
??????,??????,??????,37.31295,42.64158,Aqur,????,???? ?????,THAMANIN_426E373N_S,exact,exact
???????,???????,???????,37.04735,42.43096,Aqur,????,????? ??? ???,FAYSHABUR_424E370N_S,exact,exact
????????,????????,????????,36.6609,42.43701,Aqur,????,????? ??? ???,BAAYNATHA_424E366N_S,exact,exact
?????,?????,?????,35.9493,39.05128,Aqur,????,???? ???,RAQQA_390E359N_S,exact,exact
???????,???????,???????,35.94235,39.07703,Aqur,????,???? ???,RAFIQA_390E359N_S,exact,exact
?? ????,?? ????,?? ????? ?? ????,36.61998,39.13855,Aqur,????,???? ???,TALLMAHRA_391E366N_S,exact,exact
???????,???????,???????,36.13571,38.98556,Aqur,????,???? ???,BAJARWAN_389E361N_S,exact,exact
??? ?????,??? ?????,??? ?????,36.38728,39.07106,Aqur,????,???? ???,HISNMASLAMA_390E363N_S,exact,exact
????,????,????,36.88438,39.08906,Aqur,????,???? ???,HARRAN_390E368N_S,exact,exact
?????,?????,?????,37.1497,38.82122,Aqur,????,???? ???,RUHA_388E371N_S,exact,exact
???,???,???,37.9151,40.21323,Aqur,????,???? ???,AMID_402E379N_S,exact,exact
?????????,?????????,?????????,38.14322,41.00798,Aqur,????,???? ???,MAYYAFARIQIN_410E381N_S,exact,exact
?? ?????,?? ?????,?? ?????? ??? ?? ?????,37.72559,41.78238,Aqur,????,???? ???,TALLFAFAN_417E377N_S,exact,exact
