URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii218844	nahr bāʾaynāt̲h̲ā	nahr bāʾaynāt̲h̲ā	nahr baaynatha	NaN	TOP	no comment
ii218795	nahr tabal k̲h̲ān	nahr tabal k̲h̲ān	nahr tabal khan	NaN	TOP	no comment
ii1926	khedive ismāʿīl	khedive ismāʿīl	khedive ismail	NaN	PER	no comment
ii1065	asad	asad	asad	NaN	NAM,TRM	no comment
ii1921	carthage	carthage	carthage	NaN	TOP	no comment
ii31065	his̲h̲ām b. ismāʿīl	his̲h̲ām b. ismāʿīl	hisham b. ismail	NaN	PER	no comment
ii1572	aḥmed	aḥmed	ahmed	NaN	NAM	no comment
ii897	niger	niger	niger	NaN	TOP	no comment
ii1616	iṣāba	iṣāba	isaba	NaN	BOK,TRM	no comment
ii2071	herāt	herāt	herat	NaN	TOP	no comment
ii2467	allāhābād	allāhābād	allahabad	NaN	TOP	no comment
ii4193	ibn bādīs	ibn bādīs	ibn badis	NaN	PER	no comment
ii30985	kitāb al-kuttāb	kitāb al-kuttāb	kitab al-kuttab	NaN	BOK	no comment
ii1858	nafs	nafs	nafs	NaN	TRM	no comment
ii829	ʿamr b. al-ʿāṣ	ʿamr b. al-ʿāṣ	amr b. al-as	NaN	PER	no comment
ii1052	naḳs̲h̲bandiyya	naḳs̲h̲bandiyya	nakshbandiyya	NaN	GRP	no comment
ii1079	al-dimas̲h̲ḳī	al-dimas̲h̲ḳī	al-dimashki	NaN	PER	no comment
ii2239	meḥemmed iii	meḥemmed iii	mehemmed iii	NaN	PER	no comment
ii715	niẓāmī	niẓāmī	nizami	NaN	PER	no comment
ii1706	k̲h̲āṣṣa	k̲h̲āṣṣa	khassa	NaN	TRM	no comment
ii14874	maḥmūd b. sebüktigin	maḥmūd b. sebüktigin	mahmud b. sebuktigin	NaN	PER	no comment
ii398	ḥimṣ	ḥimṣ	hims	NaN	TOP	no comment
ii3463	ʿabd al-nāṣir	ʿabd al-nāṣir	abd al-nasir	NaN	NAM,PER	no comment
ii1810	suez canal	suez canal	suez canal	NaN	TOP	no comment
ii1907	müller	müller	muller	NaN	PER	no comment
ii218884	nahr al-isḥāḳi	nahr al-isḥāḳi	nahr al-ishaki	NaN	TOP	no comment
ii13971	kitāb al-buk̲h̲alāʾ	kitāb al-buk̲h̲alāʾ	kitab al-bukhala	NaN	BOK	no comment
ii906	ḳudāma	ḳudāma	kudama	NaN	NAM	no comment
ii985	mārdīn	mārdīn	mardin	NaN	TOP	no comment
ii1037	chicago	chicago	chicago	NaN	TOP	no comment
ii367	bayān	bayān	bayan	NaN	BOK,TRM	no comment
ii295	ḥudūd al-ʿālam	ḥudūd al-ʿālam	hudud al-alam	NaN	BOK	no comment
ii14583	abu ’l-ḥasan ʿalī b. muḥammad	abu ’l-ḥasan ʿalī b. muḥammad	abu l-hasan ali b. muhammad	NaN	PER	no comment
ii1284	dawlatābād	dawlatābād	dawlatabad	NaN	TOP	no comment
ii30838	nahr tīrā	nahr tīrā	nahr tira	NaN	TOP	no comment
ii4107	ibn ḏj̲ubayr	ibn ḏj̲ubayr	ibn jubayr	NaN	PER	no comment
ii912	dār al-islām	dār al-islām	dar al-islam	NaN	TRM	no comment
ii5149	hindustan	hindustan	hindustan	NaN	TOP	no comment
ii218836	nahr daḳla	nahr daḳla	nahr dakla	NaN	TOP	no comment
ii2063	ḵh̲wārazm	ḵh̲wārazm	khwarazm	NaN	TOP	no comment
ii1751	ṭawīl	ṭawīl	tawil	NaN	TRM	no comment
ii2163	ʿabd al-ḳays	ʿabd al-ḳays	abd al-kays	NaN	NAM,TRB	no comment
ii1448	gallipoli	gallipoli	gallipoli	NaN	TOP	no comment
ii887	uzun ḥasan	uzun ḥasan	uzun hasan	NaN	PER	no comment
ii900	ibn ṭūlūn	ibn ṭūlūn	ibn tulun	NaN	PER	no comment
ii1160	tas̲h̲kent	tas̲h̲kent	tashkent	NaN	TOP	no comment
ii191	harāt	harāt	harat	NaN	TOP	no comment
ii1367	ulug̲h̲ beg	ulug̲h̲ beg	ulugh beg	NaN	PER	no comment
ii1771	heidelberg	heidelberg	heidelberg	NaN	TOP	no comment
ii1780	rustam	rustam	rustam	NaN	NAM	no comment
ii207	būlāḳ	būlāḳ	bulak	NaN	TOP	no comment
ii2038	ḏj̲aʿfar	ḏj̲aʿfar	jafar	NaN	NAM	no comment
ii6004	ḥalīf	ḥalīf	halif	NaN	TRM	no comment
ii1136	mongolia	mongolia	mongolia	NaN	TOP	no comment
ii125	rabīʿ i	rabīʿ i	rabi i	NaN	TRM	no comment
ii218798	nahr sād̲j̲ūr	nahr sād̲j̲ūr	nahr sajur	NaN	TOP	no comment
ii511	eyālet	eyālet	eyalet	NaN	TRM	no comment
ii377	ibn al-ʿarabī	ibn al-ʿarabī	ibn al-arabi	NaN	PER,REL	no comment
ii1186	dirham	dirham	dirham	NaN	ECN,TRM	no comment
ii1559	ḳinnasrīn	ḳinnasrīn	kinnasrin	NaN	TOP	no comment
ii2092	rūs	rūs	rus	NaN	ETN,GRP,TOP	no comment
ii1974	iblīs	iblīs	iblis	NaN	TRM	no comment
ii1043	tyre	tyre	tyre	NaN	TOP	no comment
ii1510	moors	moors	moors	NaN	CUL,GRP,REL	no comment
ii1560	ministry of education	ministry of education	ministry of education	NaN	GRP	no comment
ii884	ʿubayd allāh	ʿubayd allāh	ubayd allah	NaN	PER	no comment
ii795	ibn kat̲h̲īr	ibn kat̲h̲īr	ibn kathir	NaN	PER	no comment
ii369	prophet muḥammad	prophet muḥammad	prophet muhammad	NaN	PER,REL	no comment
ii3521	plotinus	plotinus	plotinus	NaN	PER	no comment
ii3767	dalmatia	dalmatia	dalmatia	NaN	TOP	no comment
ii1438	ṭalḥa	ṭalḥa	talha	NaN	NAM	no comment
ii1194	al-zuhrī	al-zuhrī	al-zuhri	NaN	PER	no comment
ii1857	g̲h̲iyāt̲h̲ al-dīn	g̲h̲iyāt̲h̲ al-dīn	ghiyath al-din	NaN	NAM	no comment
ii2089	ottoman sultan	ottoman sultan	ottoman sultan	NaN	TRM	no comment
ii296	tlemcen	tlemcen	tlemcen	NaN	TOP	no comment
ii173	d̲h̲u ’l-ḥid̲j̲d̲j̲a	d̲h̲u ’l-ḥid̲j̲d̲j̲a	dhu l-hijja	NaN	TRM	no comment
ii6547	ahl al-ḥadīt̲h̲	ahl al-ḥadīt̲h̲	ahl al-hadith	NaN	GRP,REL	no comment
ii959	al-ḳāʾim	al-ḳāʾim	al-kaim	NaN	PER	no comment
ii4483	south russia	south russia	south russia	NaN	TOP	no comment
ii35121	ṭabāṭabāʾī	ṭabāṭabāʾī	tabatabai	NaN	NAM,PER	no comment
ii3990	s̲h̲ihāb	s̲h̲ihāb	shihab	NaN	NAM,TRM	no comment
ii218789	nahr yāna/āna	nahr yāna/āna	nahr yana/ana	NaN	TOP	no comment
ii175	ibn sīnā	ibn sīnā	ibn sina	NaN	PER	no comment
ii1144	ṭahmāsp	ṭahmāsp	tahmasp	NaN	PER	no comment
ii1575	raʾy	raʾy	ray	NaN	TRM	no comment
ii218772	nahr ḳadīs̲h̲a	nahr ḳadīs̲h̲a	nahr kadisha	NaN	TOP	no comment
ii397	laḳab	laḳab	lakab	NaN	SOC,TRM	no comment
ii940	d̲j̲uwaynī	d̲j̲uwaynī	juwayni	NaN	PER	no comment
ii3730	abū ʿabd allāh muḥammad	abū ʿabd allāh muḥammad	abu abd allah muhammad	NaN	PER	no comment
ii3538	erzerum	erzerum	erzerum	NaN	TOP	no comment
ii31324	ṭabaḳāt ʿulamāʾ ifrīḳiya	ṭabaḳāt ʿulamāʾ ifrīḳiya	tabakat ulama ifrikiya	NaN	BOK,GRP,REL	no comment
ii241	hid̲j̲ra	hid̲j̲ra	hijra	NaN	TRM	no comment
ii218781	nahr ʿīsā ibn ʿalī	nahr ʿīsā ibn ʿalī	nahr isa ibn ali	NaN	TOP	no comment
ii73241	nahr al-isḥāḳī	nahr al-isḥāḳī	nahr al-ishaki	NaN	TOP	no comment
ii586	java	java	java	NaN	TOP	no comment
ii1965	anṣārī	anṣārī	ansari	NaN	PER	no comment
ii3860	sirr	sirr	sirr	NaN	TRM	no comment
ii218890	nahr al-akrād	nahr al-akrād	nahr al-akrad	NaN	TOP	no comment
ii594	al-muḳtadir	al-muḳtadir	al-muktadir	NaN	PER	no comment
ii3536	mardin	mardin	mardin	NaN	TOP	no comment
ii360	ayyūbids	ayyūbids	ayyubids	NaN	DYN,GRP	no comment
ii396	fez	fez	fez	NaN	TOP	no comment
ii772	sayyids	sayyids	sayyids	NaN	TRM	no comment
ii218828	nahr d̲j̲irra	nahr d̲j̲irra	nahr jirra	NaN	TOP	no comment
ii218879	nahr al-lāhūn	nahr al-lāhūn	nahr al-lahun	NaN	TOP	no comment
ii218875	nahr al-maʿḳil	nahr al-maʿḳil	nahr al-makil	NaN	TOP	no comment
ii589	nāʾib	nāʾib	naib	NaN	TRM	no comment
ii294	sulṭān	sulṭān	sultan	NaN	POL,TRM	no comment
