SOURCE,TARGET,TYPE
مكة,بطن مر,undirected
بطن مر,عسفان,undirected
عسفان,خليص,undirected
عسفان,أمج,undirected
خليص,الخيم,undirected
أمج,الخيم,undirected
الخيم,الجحفة,undirected
الجحفة,الأبواء,undirected
الأبواء,سقيا بنى غفار,undirected
سقيا بنى غفار,العرج,undirected
العرج,الروحاء,undirected
الروحاء,رويثة,undirected
رويثة,يثرب,undirected
مكة,يلملم,undirected
يلملم,قرن,undirected
قرن,السرين,undirected
مکه,بستان بنى عامر,undirected
بستان بنى عامر,ذات عرق,undirected
ذات عرق,الغمرة,undirected
مکه,قرين,undirected
قرين,جدة,undirected
بطن مر,جدة,undirected
الجحفة,بدر,undirected
بدر,الصفراء,undirected
بدر,المعلاة,undirected
الصفراء,الروحاء,undirected
المعلاة,الروحاء,undirected
بدر,ينبع,undirected
ينبع,راس العين,undirected
راس العين,المعدن,undirected
المعدن,المروة,undirected
بدر,الجار,undirected
الجار,الجحفة,undirected
الجار,ينبع,undirected
جدة,الجار,undirected
جدة,السرين,undirected
يثرب,السويدية,undirected
يثرب,بطن النخل,undirected
السويدية,المروة,undirected
بطن النخل,معدن النقرة,undirected
المروة,السقيا,undirected
السقيا,بدا يعقوب,undirected
بدا يعقوب,العونيد,undirected
السقيا,وادي القري,undirected
وادي القري,الحجر,undirected
الحجر,تيماء,undirected
زبالة,الشقوق,undirected
الشقوق,البطان,undirected
البطان,الثعلبية,undirected
الثعلبية,الخزيمية,undirected
الخزيميه,أجفر,undirected
أجفر,فيد,undirected
فيد,توز,undirected
توز,سميراء,undirected
سميراء,حاجر,undirected
حاجر,معدن النقرة,undirected
معدن النقرة,المغيثة,undirected
المغيثة,الربذة,undirected
الربذة,معدن بنى سليم,undirected
معدن بنى سليم,السليلة,undirected
السليلة,العمق,undirected
العمق,الأفيعية,undirected
الأفيعية,المسلح,undirected
المسلح,غمرة,undirected
البصرة,الحفير,undirected
الحفير,الرحيل,undirected
الرحيل,الشجى,undirected
الشجى,حفر ابى موسى,undirected
حفر ابى موسى,ماوية,undirected
