geometry,name,cenroid,centerLat,centerLon
"POLYGON ((52.27812998179662 29.81988626848891, 52.27804683775843 29.81983413773438, 52.27795898437402 29.81979040754454, 52.27786726771951 29.81975549906503, 52.27777257107643 29.81972974848358, 52.27767580642521 29.81971340379238, 52.27757790566235 29.81970662239972, 52.27747981162571 29.81970946961414, 52.27738246901448 29.8197219180154, 52.27728681529121 29.81974384771859, 52.27719377165357 29.81977504752868, 52.27710423416264 29.81981521697444, 52.2770190651134 29.81986396920216, 52.27693908473035 29.81992083470122, 52.27686506326832 29.8199852658258, 52.27679771359443 29.82005664206892, 52.27673768432287 29.82013427603837, 52.27668555356835 29.82021742007657, 52.27664182337851 29.82030527346098, 52.276606914899 29.82039699011548, 52.27658116431755 29.82049168675857, 52.27656481962634 29.82058845140978, 52.27655803823369 29.82068635217264, 52.27656088544811 29.82078444620929, 52.27657333384936 29.82088178882053, 52.27659526355255 29.82097744254379, 52.27662646336265 29.82107048618143, 52.27666663280841 29.82116002367236, 52.27671538503612 29.8212451927216, 52.27677225053519 29.82132517310464, 52.27683668165976 29.82139919456668, 52.27690805790289 29.82146654424056, 52.27698569187234 29.82152657351212, 52.35863177056267 29.8784835320541, 52.35871491460086 29.87853566280863, 52.35880276798527 29.87857939299847, 52.35889448463978 29.87861430147798, 52.35898918128286 29.87864005205943, 52.35908594593408 29.87865639675063, 52.35918384669694 29.87866317814329, 52.35928194073358 29.87866033092887, 52.35937928334481 29.87864788252761, 52.35947493706808 29.87862595282442, 52.35956798070572 29.87859475301433, 52.35965751819666 29.87855458356857, 52.35974268724589 29.87850583134085, 52.35982266762894 29.87844896584179, 52.35989668909097 29.87838453471721, 52.35996403876486 29.87831315847409, 52.36002406803642 29.87823552450464, 52.36007619879094 29.87815238046644, 52.36011992898078 29.87806452708203, 52.36015483746029 29.87797281042753, 52.36018058804174 29.87787811378444, 52.36019693273295 29.87778134913323, 52.3602037141256 29.87768344837037, 52.36020086691119 29.87758535433372, 52.36018841850993 29.87748801172248, 52.36016648880674 29.87739235799922, 52.36013528899664 29.87729931436158, 52.36009511955088 29.87720977687065, 52.36004636732317 29.87712460782141, 52.3599895018241 29.87704462743837, 52.35992507069953 29.87697060597633, 52.3598536944564 29.87690325630244, 52.35977606048695 29.87684322703089, 52.27812998179662 29.81988626848891))",قرية جويم,POINT (52.31838087617965 29.84918490027151),52.31838087617965,29.849184900271506
"POLYGON ((41.43336407134409 36.83084814494219, 41.4333402492171 36.83075294487433, 41.43330721056174 36.83066053819758, 41.43326527355835 36.83057181483875, 41.43321484208317 36.83048762925229, 41.4331564018189 36.83040879219142, 41.43309051557721 36.83033606290013, 41.43301781787863 36.83027014180126, 41.43293900884174 36.83021166375102, 41.43285484744064 36.83016119192499, 41.43276614419565 36.83011921239447, 41.43267375336749 36.83008612944528, 41.43257856473034 36.8300622616843, 41.43248149500283 36.83004783897111, 41.43238347901948 36.83004300020433, 41.4322854607278 36.83004779198394, 41.43218838409752 36.83006216816246, 41.43209318402965 36.83008599028945, 41.4320007773529 36.83011902894481, 41.43191205399408 36.8301609659482, 41.43182786840762 36.83021139742338, 41.43174903134675 36.83026983768765, 41.43167630205546 36.83033572392934, 41.43161038095658 36.83040842162792, 41.43155190290634 36.83048723066481, 41.43150143108032 36.83057139206591, 41.4314594515498 36.8306600953109, 41.4314263686006 36.83075248613906, 41.43140250083962 36.83084767477621, 41.43138807812644 36.83094474450372, 41.43138323935966 36.83104276048707, 41.43138803113927 36.83114077877875, 41.43140240731779 36.83123785540903, 41.50796326466104 37.21661800927513, 41.50798708678803 37.216713209343, 41.50802012544339 37.21680561601975, 41.50806206244678 37.21689433937858, 41.50811249392196 37.21697852496504, 41.50817093418623 37.2170573620259, 41.50823682042792 37.21713009131719, 41.5083095181265 37.21719601241607, 41.50838832716339 37.21725449046631, 41.50847248856449 37.21730496229233, 41.50856119180948 37.21734694182285, 41.50865358263764 37.21738002477205, 41.50874877127479 37.21740389253303, 41.5088458410023 37.21741831524621, 41.50894385698565 37.21742315401299, 41.50904187527733 37.21741836223338, 41.50913895190761 37.21740398605486, 41.50923415197548 37.21738016392787, 41.50932655865223 37.21734712527252, 41.50941528201106 37.21730518826912, 41.50949946759751 37.21725475679395, 41.50957830465838 37.21719631652967, 41.50965103394967 37.21713043028798, 41.50971695504855 37.2170577325894, 41.50977543309879 37.21697892355252, 41.50982590492481 37.21689476215142, 41.50986788445533 37.21680605890642, 41.50990096740453 37.21671366807826, 41.50992483516551 37.21661847944112, 41.50993925787869 37.21652140971361, 41.50994409664547 37.21642339373025, 41.50993930486586 37.21632537543858, 41.50992492868734 37.2162282988083, 41.43336407134409 36.83084814494219))",المونسة,POINT (41.47066366800256 37.02373307710867),41.47066366800256,37.023733077108666
"POLYGON ((53.87934797232413 28.31438843250682, 53.87930736929815 28.31447777421565, 53.87927571880565 28.31457066551223, 53.87925332565818 28.31466621180259, 53.87924040551398 28.31476349292373, 53.8792370828011 28.31486157200526, 53.8792433895191 28.31495950449203, 53.87925926493082 28.31505634724063, 53.87928455614738 28.31515116760248, 53.87931901960053 28.31524305240565, 53.87936232338838 28.31533111674925, 53.87941405047178 28.31541451252551, 53.87947370269064 28.31549243658753, 53.87954070556148 28.31556413848397, 53.87961441381003 28.3156289276864, 53.87969411758557 28.31568618023937, 53.87977904929716 28.31573534476949, 53.87986839100599 28.31577594779547, 53.87996128230256 28.31580759828797, 53.88005682859292 28.31582999143545, 53.88015410971406 28.31584291157965, 53.88025218879559 28.31584623429252, 53.88035012128235 28.31583992757453, 53.88044696403097 28.3158240521628, 53.88054178439281 28.31579876094624, 53.88063366919598 28.3157642974931, 53.88072173353958 28.31572099370524, 53.88080512931584 28.31566926662185, 53.88088305337786 28.31560961440299, 53.8809547552743 28.31554261153215, 53.88101954447674 28.31546890328359, 53.8810767970297 28.31538919950806, 53.88112596155982 28.31530426779647, 54.03765073464113 28.0114293627761, 54.03769133766711 28.01134002106727, 54.03772298815962 28.01124712977069, 54.03774538130709 28.01115158348033, 54.03775830145129 28.0110543023592, 54.03776162416416 28.01095622327766, 54.03775531744616 28.0108582907909, 54.03773944203444 28.01076144804229, 54.03771415081788 28.01066662768044, 54.03767968736474 28.01057474287727, 54.03763638357689 28.01048667853368, 54.03758465649349 28.01040328275741, 54.03752500427463 28.0103253586954, 54.03745800140378 28.01025365679895, 54.03738429315523 28.01018886759652, 54.0373045893797 28.01013161504356, 54.03721965766811 28.01008245051343, 54.03713031595928 28.01004184748745, 54.03703742466271 28.01001019699495, 54.03694187837235 28.00998780384747, 54.0368445972512 28.00997488370327, 54.03674651816967 28.0099715609904, 54.03664858568291 28.0099778677084, 54.0365517429343 28.00999374312012, 54.03645692257246 28.01001903433668, 54.03636503776929 28.01005349778983, 54.03627697342569 28.01009680157768, 54.03619357764943 28.01014852866108, 54.03611565358741 28.01020818087994, 54.03604395169096 28.01027518375077, 54.03597916248853 28.01034889199933, 54.03592190993557 28.01042859577486, 54.03587274540544 28.01051352748645, 53.87934797232413 28.31438843250682))",جويم ابى احمد,POINT (53.95849935348263 28.16290889764145),53.95849935348263,28.16290889764145
"POLYGON ((63.42590738916397 39.88154491718083, 63.42587024451502 39.88145408314696, 63.42582437543546 39.88136732731605, 63.42577022366961 39.88128548519419, 63.42570831072856 39.88120934496575, 63.42563923286779 39.88113963990276, 63.42556365534486 39.88107704130307, 63.42548230601263 39.88102215202541, 63.42539596830964 39.88097550068355, 63.42530547371517 39.88093753655539, 63.42521169374162 39.88090862525625, 63.42511553154142 39.88088904521775, 63.42501791320912 39.88087898500636, 63.42491977886261 39.88087854150741, 63.4248220735893 39.88088771899204, 63.42472573834439 39.88090642907606, 63.42463170088895 39.88093449157114, 63.42454086685508 39.88097163622009, 63.42445411102418 39.88101750529965, 63.42437226890232 39.8810716570655, 63.42429612867388 39.88113357000655, 63.42422642361088 39.88120264786732, 63.42416382501119 39.88127822539025, 63.42410893573354 39.88135957472248, 63.42406228439167 39.88144591242547, 63.42402432026351 39.88153640701994, 63.42399540896438 39.88163018699349, 63.42397582892588 39.88172634919369, 63.42396576871449 39.881823967526, 63.42396532521554 39.8819221018725, 63.42397450270017 39.88201980714581, 63.42399321278419 39.88211614239072, 63.42402127527927 39.88221017984616, 63.55518598835162 40.25408071971231, 63.55522313300057 40.25417155374618, 63.55526900208014 40.25425830957709, 63.55532315384599 40.25434015169895, 63.55538506678704 40.25441629192738, 63.5554541446478 40.25448599699038, 63.55552972217074 40.25454859559007, 63.55561107150297 40.25460348486773, 63.55569740920595 40.25465013620959, 63.55578790380043 40.25468810033775, 63.55588168377398 40.25471701163688, 63.55597784597418 40.25473659167539, 63.55607546430648 40.25474665188678, 63.55617359865299 40.25474709538572, 63.55627130392629 40.2547379179011, 63.55636763917121 40.25471920781708, 63.55646167662665 40.254691145322, 63.55655251066052 40.25465400067305, 63.55663926649142 40.25460813159349, 63.55672110861328 40.25455397982763, 63.55679724884172 40.25449206688658, 63.55686695390472 40.25442298902582, 63.55692955250441 40.25434741150288, 63.55698444178206 40.25426606217066, 63.55703109312392 40.25417972446767, 63.55706905725209 40.25408922987319, 63.55709796855122 40.25399544989965, 63.55711754858972 40.25389928769945, 63.55712760880111 40.25380166936714, 63.55712805230006 40.25370353502063, 63.55711887481543 40.25360582974733, 63.55710016473141 40.25350949450242, 63.55707210223633 40.25341545704698, 63.42590738916397 39.88154491718083))",شوروخ,POINT (63.4905466887578 40.06781281844655),63.4905466887578,40.067812818446555
"POLYGON ((50.40878392707265 35.27542383374885, 50.40870662618748 35.27548429133571, 50.40863562340698 35.27555203461446, 50.40857160252674 35.27562641118032, 50.40851518010282 35.27570670474628, 50.40846689951402 35.27579214204142, 50.40842722572881 35.27588190025789, 50.4083965408274 35.27597511497497, 50.40837514032219 35.27607088848401, 50.40836323031174 35.27616829843374, 50.40836092549596 35.2762664067131, 50.40836824807148 35.27636426848574, 50.4083851275179 35.27646094128927, 50.40841140127691 35.27655549411178, 50.40844681631788 35.27664701635786, 50.40849103157458 35.27673462661829, 50.40854362122992 35.27681748115833, 50.40860407881677 35.2768947820435, 50.40867182209553 35.276965784824, 50.40874619866138 35.27702980570424, 50.40882649222735 35.27708622812816, 50.40891192952249 35.27713450871695, 50.40900168773895 35.27717418250217, 50.40909490245603 35.27720486740358, 50.40919067596507 35.27722626790879, 50.4092880859148 35.27723817791924, 50.40938619419416 35.27724048273502, 50.4094840559668 35.2772331601595, 50.40958072877034 35.27721628071308, 50.40967528159284 35.27719000695406, 50.40976680383893 35.2771545919131, 50.40985441409935 35.2771103766564, 50.4099372686394 35.27705778700106, 50.78933170417631 35.00925858766271, 50.78940900506147 35.00919813007586, 50.78948000784197 35.0091303867971, 50.78954402872221 35.00905601023125, 50.78960045114613 35.00897571666528, 50.78964873173493 35.00889027937014, 50.78968840552015 35.00880052115368, 50.78971909042155 35.0087073064366, 50.78974049092676 35.00861153292756, 50.78975240093721 35.00851412297783, 50.78975470575299 35.00841601469847, 50.78974738317748 35.00831815292583, 50.78973050373106 35.00822148012229, 50.78970422997204 35.00812692729979, 50.78966881493108 35.0080354050537, 50.78962459967438 35.00794779479328, 50.78957201001904 35.00786494025323, 50.78951155243218 35.00778763936807, 50.78944380915343 35.00771663658757, 50.78936943258757 35.00765261570733, 50.78928913902161 35.00759619328341, 50.78920370172646 35.00754791269461, 50.78911394351 35.0075082389094, 50.78902072879292 35.00747755400799, 50.78892495528388 35.00745615350278, 50.78882754533415 35.00744424349233, 50.78872943705479 35.00744193867655, 50.78863157528215 35.00744926125206, 50.78853490247862 35.00746614069848, 50.78844034965611 35.0074924144575, 50.78834882741003 35.00752782949846, 50.7882612171496 35.00757204475516, 50.78817836260956 35.0076246344105, 50.40878392707265 35.27542383374885))",ودروه,POINT (50.59905781562446 35.14234121070578),50.59905781562446,35.14234121070578
"POLYGON ((52.94283397066895 30.42302793610494, 52.94273948390523 30.42305444644513, 52.94264805058883 30.42309009045315, 52.94256055127258 30.42313452485774, 52.94247782862272 30.42318732173129, 52.9424006793036 30.42324797261104, 52.94232984630533 30.42331589339587, 52.9422660117884 30.42339042997148, 52.94220979051411 30.42347086450991, 52.94216172392406 30.42355642238259, 52.94212227492579 30.42364627962042, 52.94209182343473 30.4237395708491, 52.94207066271537 30.42383539762308, 52.94205899655701 30.42393283707815, 52.94205693731113 30.42403095081909, 52.9420645048094 30.42412879395695, 52.94208162617267 30.42422542420882, 52.94210813651285 30.42431991097254, 52.94214378052088 30.42441134428894, 52.94218821492547 30.42449884360519, 52.94224101179902 30.42458156625504, 52.94230166267877 30.42465871557417, 52.9423695834636 30.42472954857244, 52.94244412003921 30.42479338308937, 52.94252455457764 30.42484960436366, 52.94261011245031 30.4248976709537, 52.94269996968815 30.42493711995197, 52.94279326091682 30.42496757144304, 52.9428890876908 30.4249887321624, 52.94298652714588 30.42500039832076, 52.94308464088682 30.42500245756663, 52.94318248402467 30.42499489006837, 52.94327911427654 30.4249777687051, 53.27269375323515 30.34977294303581, 53.27278823999887 30.34974643269562, 53.27287967331527 30.3497107886876, 53.27296717263152 30.34966635428301, 53.27304989528137 30.34961355740946, 53.27312704460049 30.34955290652971, 53.27319787759877 30.34948498574488, 53.2732617121157 30.34941044916927, 53.27331793338999 30.34933001463084, 53.27336599998004 30.34924445675816, 53.2734054489783 30.34915459952033, 53.27343590046937 30.34906130829165, 53.27345706118873 30.34896548151767, 53.27346872734709 30.3488680420626, 53.27347078659297 30.34876992832165, 53.27346321909469 30.3486720851838, 53.27344609773142 30.34857545493193, 53.27341958739125 30.34848096816821, 53.27338394338322 30.34838953485181, 53.27333950897862 30.34830203553556, 53.27328671210508 30.34821931288571, 53.27322606122533 30.34814216356658, 53.2731581404405 30.34807133056831, 53.27308360386489 30.34800749605138, 53.27300316932646 30.34795127477709, 53.27291761145379 30.34790320818705, 53.27282775421595 30.34786375918878, 53.27273446298727 30.34783330769771, 53.27263863621329 30.34781214697835, 53.27254119675822 30.34780048081999, 53.27244308301727 30.34779842157412, 53.27234523987942 30.34780598907238, 53.27224860962755 30.34782311043565, 52.94283397066895 30.42302793610494))",كماهنك,POINT (53.10776386195204 30.38640043957037),53.10776386195204,30.386400439570373
"POLYGON ((47.96501607708832 31.98846324234235, 47.9649747726458 31.98837422273954, 47.96492494164857 31.9882896803338, 47.96486706399635 31.98821042931469, 47.96480169708259 31.98813723291286, 47.96472947042639 31.98807079604967, 47.96465107960994 31.98801175854843, 47.96456727957966 31.98796068897256, 47.96447887737565 31.98791807914997, 47.96438672435944 31.98788433943657, 47.96429170801498 31.98785979476423, 47.96419474340159 31.98784468151156, 47.96409676434151 31.98783914522746, 47.96399871442665 31.98784323922935, 47.96390153793129 31.98785692408978, 47.9638061707182 31.98788006801604, 47.96371353122577 31.98791244811948, 47.96362451162297 31.987953752562, 47.96353996921722 31.98800358355924, 47.96346071819811 31.98806146121145, 47.96338752179629 31.98812682812521, 47.96332108493309 31.98819905478141, 47.96326204743185 31.98827744559786, 47.96321097785598 31.98836124562814, 47.96316836803339 31.98844964783216, 47.96313462831999 31.98854180084836, 47.96311008364765 31.98863681719282, 47.96309497039498 31.98873378180621, 47.96308943411088 31.98883176086629, 47.96309352811278 31.98892981078115, 47.9631072129732 31.98902698727651, 47.96313035689946 31.9891223544896, 47.9631627370029 31.98921499398203, 48.04106056849651 32.18126136415927, 48.04110187293903 32.18135038376207, 48.04115170393626 32.18143492616782, 48.04120958158848 32.18151417718693, 48.04127494850225 32.18158737358875, 48.04134717515844 32.18165381045195, 48.04142556597489 32.18171284795319, 48.04150936600517 32.18176391752906, 48.04159776820919 32.18180652735165, 48.04168992122539 32.18184026706505, 48.04178493756985 32.18186481173739, 48.04188190218324 32.18187992499006, 48.04197988124332 32.18188546127416, 48.04207793115818 32.18188136727226, 48.04217510765354 32.18186768241184, 48.04227047486663 32.18184453848558, 48.04236311435906 32.18181215838214, 48.04245213396187 32.18177085393962, 48.04253667636761 32.18172102294238, 48.04261592738672 32.18166314529017, 48.04268912378855 32.1815977783764, 48.04275556065174 32.18152555172021, 48.04281459815298 32.18144716090376, 48.04286566772885 32.18136336087348, 48.04290827755144 32.18127495866946, 48.04294201726484 32.18118280565326, 48.04296656193718 32.1810877893088, 48.04298167518985 32.18099082469541, 48.04298721147396 32.18089284563533, 48.04298311747205 32.18079479572047, 48.04296943261163 32.18069761922511, 48.04294628868537 32.18060225201202, 48.04291390858193 32.18050961251959, 47.96501607708832 31.98846324234235))",قرية الرمل,POINT (48.00303832279242 32.08486230325083),48.00303832279242,32.08486230325083
"POLYGON ((42.80125155337772 36.83289474078206, 42.80116028418956 36.83285867858653, 42.8010659197742 36.83283173598514, 42.80096936891255 36.83281417244989, 42.80087156144219 36.83280615712722, 42.80077343930253 36.83280776720906, 42.8006759474634 36.83281898718946, 42.80058002482453 36.83283970901385, 42.80048659517335 36.83286973311975, 42.80039655828847 36.83290877035861, 42.80031078127433 36.83295644478047, 42.80023009021045 36.8330122972546, 42.80015526219589 36.83307578989113, 42.80008701786534 36.83314631122126, 42.800026014449 36.83322318208603, 42.79997283944314 36.833305662177, 42.7999280049521 36.8333929571658, 42.79989194275657 36.83348422635396, 42.79986500015518 36.83357859076932, 42.79984743661993 36.83367514163097, 42.79983942129726 36.83377294910133, 42.7998410313791 36.83387107124099, 42.7998522513595 36.83396856308012, 42.79987297318389 36.834064485719, 42.79990299728979 36.83415791537018, 42.79994203452865 36.83424795225505, 42.79998970895051 36.8343337292692, 42.80004556142464 36.83441442033308, 42.80010905406117 36.83448924834764, 42.8001795753913 36.83455749267819, 42.80025644625607 36.83461849609452, 42.80033892634704 36.83467167110039, 42.80042622133584 36.83471650559142, 42.97838285059998 36.91533794884463, 42.97847411978814 36.91537401104016, 42.9785684842035 36.91540095364155, 42.97866503506515 36.9154185171768, 42.97876284253551 36.91542653249947, 42.97886096467517 36.91542492241763, 42.9789584565143 36.91541370243723, 42.97905437915318 36.91539298061284, 42.97914780880436 36.91536295650694, 42.97923784568923 36.91532391926808, 42.97932362270338 36.91527624484622, 42.97940431376725 36.91522039237209, 42.97947914178182 36.91515689973556, 42.97954738611237 36.91508637840543, 42.9796083895287 36.91500950754066, 42.97966156453457 36.91492702744969, 42.9797063990256 36.91483973246089, 42.97974246122114 36.91474846327273, 42.97976940382252 36.91465409885737, 42.97978696735778 36.91455754799572, 42.97979498268045 36.91445974052536, 42.9797933725986 36.9143616183857, 42.97978215261821 36.91426412654657, 42.97976143079381 36.91416820390769, 42.97973140668791 36.91407477425651, 42.97969236944905 36.91398473737163, 42.97964469502719 36.91389896035749, 42.97958884255306 36.91381826929361, 42.97952534991654 36.91374344127905, 42.97945482858641 36.9136751969485, 42.97937795772163 36.91361419353217, 42.97929547763066 36.9135610185263, 42.97920818264186 36.91351618403527, 42.80125155337772 36.83289474078206))",معلثايا,POINT (42.88981720198886 36.87411634481333),42.88981720198886,36.87411634481333
"POLYGON ((44.37841028758749 39.02078371035849, 44.37831235236207 39.0207774463119, 44.37821427473761 39.02078081175912, 44.37811699925523 39.02079377428909, 44.378021462731 39.02081620906554, 44.37792858523388 39.0208479000293, 44.37783926122494 39.02088854197909, 44.37775435094321 39.02093774351069, 44.37767467212112 39.02099503078648, 44.3776009921093 39.02105985209865, 44.37753402048651 39.02113158318256, 44.37747440222612 39.02120953322863, 44.37742271148455 39.02129295153532, 44.3773794460719 39.02138103473874, 44.37734502265774 39.02147293454947, 44.37731977275838 39.02156776592212, 44.37730393954416 39.02166461557871, 44.37729767549756 39.02176255080413, 44.37730104094479 39.02186062842859, 44.37731400347475 39.02195790391097, 44.3773364382512 39.0220534404352, 44.37736812921496 39.02214631793232, 44.37740877116475 39.02223564194126, 44.37745797269636 39.02232055222299, 44.37751525997214 39.02240023104508, 44.37758008128431 39.0224739110569, 44.37765181236822 39.02254088267969, 44.37772976241429 39.02260050094008, 44.37781318072098 39.02265219168165, 44.3779012639244 39.0226954570943, 44.37799316373513 39.02272988050846, 44.37808799510778 39.02275513040782, 44.37818484476438 39.02277096362204, 45.42509577349739 39.1415371821217, 45.4251937087228 39.14154344616829, 45.42529178634727 39.14154008072106, 45.42538906182965 39.1415271181911, 45.42548459835388 39.14150468341465, 45.42557747585099 39.14147299245089, 45.42566679985993 39.1414323505011, 45.42575171014166 39.1413831489695, 45.42583138896375 39.14132586169371, 45.42590506897557 39.14126104038154, 45.42597204059836 39.14118930929763, 45.42603165885875 39.14111135925156, 45.42608334960033 39.14102794094487, 45.42612661501298 39.14093985774145, 45.42616103842713 39.14084795793072, 45.42618628832649 39.14075312655807, 45.42620212154072 39.14065627690147, 45.42620838558732 39.14055834167606, 45.42620502014009 39.1404602640516, 45.42619205761012 39.14036298856922, 45.42616962283368 39.14026745204499, 45.42613793186991 39.14017457454787, 45.42609728992012 39.14008525053893, 45.42604808838852 39.1400003402572, 45.42599080111273 39.13992066143511, 45.42592597980056 39.13984698142329, 45.42585424871665 39.1397800098005, 45.42577629867058 39.13972039154011, 45.42569288036389 39.13966870079854, 45.42560479716047 39.13962543538589, 45.42551289734974 39.13959101197173, 45.42541806597709 39.13956576207237, 45.4253212163205 39.13954992885814, 44.37841028758749 39.02078371035849))",نشوى,POINT (44.90175303054243 39.0811604462401),44.90175303054243,39.0811604462401
"POLYGON ((52.1493717574941 30.97469560315313, 52.14928903562256 30.97464280506013, 52.14920153696134 30.97459836936568, 52.1491101041704 30.9745627240098, 52.14901561779749 30.97453621227675, 52.14891898779803 30.97451908948901, 52.14882114477174 30.97451152054839, 52.14872303100045 30.97451357834793, 52.14862559137341 30.97452524306989, 52.1485297642875 30.97454640237662, 52.14843647260994 30.97457685249244, 52.14834661479058 30.97461630016607, 52.14826105620934 30.97466436549487, 52.14818062084213 30.97472058558343, 52.14810608332552 30.97478441900158, 52.14803816149652 30.97485525099859, 52.14797750947948 30.97493239942363, 52.14792471138649 30.97501512129517, 52.14788027569203 30.97510261995638, 52.14784463033615 30.97519405274733, 52.1478181186031 30.97528853912024, 52.14780099581537 30.9753851691197, 52.14779342687475 30.97548301214599, 52.14779548467428 30.97558112591728, 52.14780714939624 30.97567856554432, 52.14782830870298 30.97577439263023, 52.14785875881879 30.97586768430779, 52.14789820649243 30.97595754212715, 52.14794627182123 30.97604310070839, 52.14800249190979 30.97612353607559, 52.14806632532793 30.97619807359222, 52.14813715732495 30.97626599542121, 52.14821430574998 30.97632664743825, 52.32613294025759 31.10258455208306, 52.32621566212913 31.10263735017605, 52.32630316079035 31.10268178587051, 52.32639459358128 31.10271743122639, 52.3264890799542 31.10274394295944, 52.32658570995366 31.10276106574718, 52.32668355297995 31.10276863468779, 52.32678166675124 31.10276657688825, 52.32687910637828 31.10275491216629, 52.32697493346419 31.10273375285956, 52.32706822514175 31.10270330274374, 52.32715808296111 31.10266385507011, 52.32724364154235 31.10261578974131, 52.32732407690956 31.10255956965275, 52.32739861442617 31.10249573623461, 52.32746653625517 31.10242490423759, 52.32752718827221 31.10234775581256, 52.3275799863652 31.10226503394101, 52.32762442205966 31.1021775352798, 52.32766006741554 31.10208610248886, 52.32768657914859 31.10199161611595, 52.32770370193632 31.10189498611648, 52.32771127087694 31.1017971430902, 52.32770921307741 31.1016990293189, 52.32769754835545 31.10160158969187, 52.32767638904871 31.10150576260596, 52.3276459389329 31.10141247092839, 52.32760649125926 31.10132261310903, 52.32755842593046 31.1012370545278, 52.3275022058419 31.10115661916059, 52.32743837242376 31.10108208164397, 52.32736754042674 31.10101415981497, 52.32729039200171 31.10095350779794, 52.1493717574941 30.97469560315313))",إصطخران,POINT (52.23775234887584 31.03864007761809),52.237752348875844,31.03864007761809
