geometry,name,cenroid,centerLat,centerLon
"POLYGON ((40.02511589294508 47.18347650240487, 40.02504961428558 47.18340413054604, 40.0249765610933 47.18333860362217, 40.02489743691041 47.18328055269334, 40.02481300374605 47.18323053682174, 40.02472407473775 47.18318903768755, 40.02463150632047 47.18315645495012, 40.02453618997868 47.18313310239902, 40.02443904366084 47.18311920493209, 40.02434100293912 47.18311489638953, 40.02424301199925 47.18312021826495, 40.02414601454754 47.1831351193058, 40.02405094472249 47.1831594560069, 40.02395871809848 47.18319299399251, 40.02387022286831 47.18323541027351, 40.02378631128943 47.18328629635791, 40.02370779147621 47.18334516218491, 40.02363541961738 47.18341144084441, 40.02356989269351 47.18348449403669, 40.02351184176468 47.18356361821958, 40.02346182589308 47.18364805138394, 40.02342032675889 47.18373698039224, 40.02338774402146 47.18382954880952, 40.02336439147036 47.18392486515131, 40.02335049400343 47.18402201146915, 40.02334618546087 47.18412005219087, 40.02335150733629 47.18421804313074, 40.02336640837714 47.18431504058245, 40.02339074507824 47.1844101104075, 40.02342428306385 47.18450233703151, 40.02346669934485 47.18459083226168, 40.02351758542925 47.18467474384056, 40.02357645125625 47.18475326365377, 40.29749188762494 47.51502397191977, 40.29755816628444 47.5150963437786, 40.29763121947672 47.51516187070248, 40.29771034365961 47.51521992163131, 40.29779477682397 47.51526993750291, 40.29788370583227 47.5153114366371, 40.29797627424955 47.51534401937452, 40.29807159059134 47.51536737192563, 40.29816873690918 47.51538126939256, 40.2982667776309 47.51538557793512, 40.29836476857077 47.51538025605969, 40.29846176602248 47.51536535501884, 40.29855683584753 47.51534101831775, 40.29864906247154 47.51530748033213, 40.29873755770171 47.51526506405114, 40.29882146928059 47.51521417796673, 40.2988999890938 47.51515531213974, 40.29897236095263 47.51508903348024, 40.29903788787651 47.51501598028796, 40.29909593880534 47.51493685610507, 40.29914595467694 47.51485242294071, 40.29918745381113 47.51476349393241, 40.29922003654855 47.51467092551513, 40.29924338909966 47.51457560917333, 40.29925728656659 47.5144784628555, 40.29926159510915 47.51438042213378, 40.29925627323372 47.51428243119391, 40.29924137219287 47.5141854337422, 40.29921703549178 47.51409036391715, 40.29918349750616 47.51399813729314, 40.29914108122517 47.51390964206297, 40.29909019514076 47.51382573048409, 40.29903132931377 47.51374721067087, 40.02511589294508 47.18347650240487))","يونان,Rihab",POINT (40.16130389028501 47.34925023716232),40.16130389028501,47.349250237162316
"POLYGON ((36.81783465003885 54.32109122904217, 36.8177383175496 54.3211099533091, 36.81764428422673 54.32113802964868, 36.81755345566253 54.32117518767042, 36.81746670658571 54.32122106952225, 36.81738487243732 54.32127523333686, 36.81730874132494 54.3213371574871, 36.8172390464328 54.32140624560957, 36.81717645896081 54.32148183234786, 36.81712158166054 54.32156318976036, 36.81707494303038 54.32164953433074, 36.81703699222585 54.32174003451356, 36.81700809473394 54.3218338187426, 36.81698852885328 54.32192998382447, 36.81697848301401 54.32202760363685, 36.81697805396306 54.32212573804758, 36.81698724583241 54.32222344196866, 36.81700597009934 54.3223197744579, 36.81703404643892 54.32241380778078, 36.81707120446066 54.32250463634498, 36.81711708631249 54.3225913854218, 36.8171712501271 54.32267321957019, 36.81723317427734 54.32274935068257, 36.81730226239981 54.32281904557471, 36.8173778491381 54.3228816330467, 36.8174592065506 54.32293651034697, 36.81754555112098 54.32298314897713, 36.8176360513038 54.32302109978166, 36.81772983553284 54.32304999727357, 36.81782600061471 54.32306956315423, 36.81792362042709 54.3230796089935, 36.81802175483782 54.32308003804444, 36.8181194587589 54.3230708461751, 37.43463609954559 54.2343722223706, 37.43473243203483 54.23435349810367, 37.4348264653577 54.23432542176408, 37.43491729392191 54.23428826374234, 37.43500404299873 54.23424238189051, 37.43508587714712 54.2341882180759, 37.4351620082595 54.23412629392566, 37.43523170315164 54.2340572058032, 37.43529429062362 54.23398161906491, 37.4353491679239 54.2339002616524, 37.43539580655406 54.23381391708202, 37.43543375735858 54.2337234168992, 37.4354626548505 54.23362963267016, 37.43548222073115 54.23353346758829, 37.43549226657042 54.23343584777592, 37.43549269562137 54.23333771336518, 37.43548350375202 54.2332400094441, 37.43546477948509 54.23314367695486, 37.43543670314551 54.23304964363199, 37.43539954512377 54.23295881506778, 37.43535366327194 54.23287206599096, 37.43529949945733 54.23279023184257, 37.43523757530709 54.23271410073019, 37.43516848718463 54.23264440583805, 37.43509290044634 54.23258181836606, 37.43501154303383 54.23252694106579, 37.43492519846345 54.23248030243563, 37.43483469828063 54.23244235163111, 37.43474091405159 54.23241345413919, 37.43464474896972 54.23239388825854, 37.43454712915734 54.23238384241927, 37.43444899474661 54.23238341336832, 37.43435129082553 54.23239260523766, 36.81783465003885 54.32109122904217))","اسفراين,Daylam",POINT (37.1262353747922 54.27773172570637),37.1262353747922,54.277731725706374
"POLYGON ((14.49941734913861 44.1526055192435, 14.49950177864588 44.15255549719878, 14.49958089858421 44.15249744048502, 14.49965394698537 44.1524319082201, 14.49972022035329 44.15235953151557, 14.49977908043923 44.15228100739865, 14.49982996038839 44.15219709209951, 14.49987237019902 44.15210859376835, 14.49990590144149 44.15201636469249, 14.49993023119158 44.15192129308834, 14.49994512514052 44.15182429454742, 14.49995043985142 44.1517263032187, 14.49994612414071 44.15162826281225, 14.49993221957106 44.15153111751078, 14.49990886005106 44.15143580287663, 14.49987627054567 44.15134323684186, 14.49983476490963 44.15125431086797, 14.49978474286492 44.1511698813607, 14.49972668615116 44.15109076142236, 14.49966115388624 44.15101771302121, 14.49958877718171 44.15095143965328, 14.49951025306478 44.15089257956734, 14.49942633776564 44.15084169961819, 14.49933783943449 44.15079928980755, 14.49924561035862 44.15076575856509, 14.49915053875447 44.15074142881499, 14.49905354021355 44.15072653486606, 14.49895554888484 44.15072122015516, 14.49885750847839 44.15072553586586, 14.49876036317691 44.15073944043552, 14.49866504854277 44.15076279995551, 14.498572482508 44.1507953894609, 14.49848355653411 44.15083689509694, 14.25546932808992 44.2791427817664, 14.25538489858265 44.27919280381111, 14.25530577864431 44.27925086052488, 14.25523273024316 44.2793163927898, 14.25516645687523 44.27938876949433, 14.25510759678929 44.27946729361125, 14.25505671684014 44.27955120891039, 14.2550143070295 44.27963970724154, 14.25498077578704 44.27973193631741, 14.25495644603694 44.27982700792156, 14.25494155208801 44.27992400646248, 14.25493623737711 44.2800219977912, 14.25494055308781 44.28012003819764, 14.25495445765746 44.28021718349912, 14.25497781717746 44.28031249813326, 14.25501040668285 44.28040506416804, 14.25505191231889 44.28049399014193, 14.25510193436361 44.2805784196492, 14.25515999107737 44.28065753958754, 14.25522552334228 44.28073058798869, 14.25529790004682 44.28079686135661, 14.25537642416374 44.28085572144256, 14.25546033946288 44.28090660139171, 14.25554883779404 44.28094901120235, 14.2556410668699 44.28098254244481, 14.25573613847405 44.28100687219491, 14.25583313701497 44.28102176614384, 14.25593112834369 44.28102708085474, 14.25602916875014 44.28102276514404, 14.25612631405161 44.28100886057438, 14.25622162868575 44.28098550105439, 14.25631419472053 44.28095291154899, 14.25640312069442 44.28091140591296, 14.49941734913861 44.1526055192435))","یحصب,Jazirat al-Arab,Yemen",POINT (14.37744333861427 44.21587415050496),14.377443338614265,44.21587415050496
"POLYGON ((34.30743539764241 47.38461076750322, 34.30733865299317 47.38462723017308, 34.30724398781967 47.38465309620454, 34.30715231379931 47.3846881164936, 34.30706451380299 47.3847319537757, 34.30698143339269 47.38478418587387, 34.30690387267816 47.38484430976445, 34.3068325786115 47.38491174642149, 34.30676823779353 47.38498584639315, 34.3067114698615 47.38506589605616, 34.30666282152163 47.38515112448853, 34.30662276128404 47.38524071089386, 34.3065916749507 47.38533379250609, 34.3065698619 47.38542947289841, 34.30655753220355 47.38552683061634, 34.30655480460305 47.38562492805184, 34.3065617053668 47.38572282047297, 34.30657816803666 47.38581956512221, 34.30660403406812 47.3859142302957, 34.30663905435718 47.38600590431607, 34.30668289163928 47.38609370431239, 34.30673512373745 47.38617678472269, 34.30679524762802 47.38625434543722, 34.30686268428507 47.38632563950388, 34.30693678425673 47.38638998032185, 34.30701683391974 47.38644674825388, 34.30710206235211 47.38649539659374, 34.30719164875744 47.38653545683134, 34.30728473036967 47.38656654316468, 34.30738041076199 47.38658835621538, 34.30747776847992 47.38660068591183, 34.30757586591542 47.38660341351233, 34.30767375833655 47.38659651274858, 34.48491851141191 47.36532078139525, 34.48501525606115 47.36530431872539, 34.48510992123465 47.36527845269392, 34.48520159525501 47.36524343240487, 34.48528939525133 47.36519959512277, 34.48537247566163 47.3651473630246, 34.48545003637616 47.36508723913402, 34.48552133044282 47.36501980247697, 34.48558567126079 47.36494570250532, 34.48564243919282 47.3648656528423, 34.48569108753269 47.36478042440994, 34.48573114777028 47.36469083800461, 34.48576223410362 47.36459775639238, 34.48578404715432 47.36450207600006, 34.48579637685077 47.36440471828212, 34.48579910445127 47.36430662084663, 34.48579220368752 47.3642087284255, 34.48577574101766 47.36411198377625, 34.4857498749862 47.36401731860276, 34.48571485469714 47.36392564458239, 34.48567101741504 47.36383784458608, 34.48561878531687 47.36375476417577, 34.4855586614263 47.36367720346125, 34.48549122476925 47.36360590939459, 34.48541712479759 47.36354156857661, 34.48533707513458 47.36348480064458, 34.48525184670221 47.36343615230472, 34.48516226029688 47.36339609206713, 34.48506917868465 47.36336500573379, 34.48497349829233 47.36334319268309, 34.4848761405744 47.36333086298664, 34.4847780431389 47.36332813538614, 34.48468015071777 47.36333503614988, 34.30743539764241 47.38461076750322))","جبل بيستون,Jibal",POINT (34.39617695452716 47.37496577444922),34.39617695452716,47.37496577444922
"POLYGON ((41.23490591641503 60.02517288245841, 41.23481037972135 60.02515044840359, 41.23471310414106 60.02513748660838, 41.23461502649118 60.02513412190196, 41.23451709131309 60.0251403866883, 41.23442024177609 60.02515622063407, 41.23432541059417 60.02518147124972, 41.23423351104344 60.02521589535802, 41.23414542816683 60.025259161436, 41.23406201025058 60.02531085280766, 41.23398406065483 60.02537047165684, 41.23391233007678 60.02543744382142, 41.23384750932114 60.02551112432287, 41.2337902226472 60.02559080357766, 41.23374102175696 60.02567571423103, 41.23370038048187 60.02576503854695, 41.23366869021964 60.02585791628344, 41.23364625616481 60.02595345297712, 41.2336332943696 60.02605072855741, 41.23362992966319 60.0261488062073, 41.23363619444952 60.02624674138539, 41.2336520283953 60.02634359092238, 41.23367727901095 60.02643842210431, 41.23371170311925 60.02653032165503, 41.23375496919722 60.02661840453164, 41.23380666056888 60.02670182244789, 41.23386627941806 60.02677977204365, 41.23393325158265 60.02685150262169, 41.23400693208409 60.02691632337733, 41.23408661133889 60.02697361005127, 41.23417152199225 60.02702281094152, 41.23426084630817 60.0270634522166, 41.23435372404467 60.02709514247884, 42.00110472241135 60.24735361259909, 42.00120025910503 60.24737604665392, 42.00129753468531 60.24738900844913, 42.0013956123352 60.24739237315554, 42.00149354751329 60.24738610836921, 42.00159039705029 60.24737027442343, 42.00168522823221 60.24734502380778, 42.00177712778294 60.24731059969948, 42.00186521065955 60.24726733362151, 42.0019486285758 60.24721564224985, 42.00202657817155 60.24715602340067, 42.00209830874959 60.24708905123608, 42.00216312950523 60.24701537073464, 42.00222041617918 60.24693569147984, 42.00226961706942 60.24685078082648, 42.00231025834451 60.24676145651055, 42.00234194860674 60.24666857877406, 42.00236438266157 60.24657304208039, 42.00237734445678 60.2464757665001, 42.00238070916319 60.24637768885021, 42.00237444437685 60.24627975367212, 42.00235861043108 60.24618290413513, 42.00233335981543 60.2460880729532, 42.00229893570713 60.24599617340247, 42.00225566962916 60.24590809052587, 42.0022039782575 60.24582467260961, 42.00214435940832 60.24574672301386, 42.00207738724373 60.24567499243582, 42.00200370674229 60.24561017168018, 42.00192402748749 60.24555288500623, 42.00183911683413 60.24550368411599, 42.0017497925182 60.2454630428409, 42.00165691478171 60.24543135257867, 41.23490591641503 60.02517288245841))","رخشميثن,Khurasan,Sijistan,Transoxiana",POINT (41.61800531941319 60.13626324752875),41.61800531941319,60.13626324752875
"POLYGON ((31.75747563066987 48.64368117327617, 31.75751655687557 48.64359197914888, 31.7575485434571 48.64349920304605, 31.75757128236621 48.64340373845225, 31.75758455461477 48.64330650474373, 31.75758823238378 48.64320843833423, 31.7575822802543 48.6431104836569, 31.7575667555486 48.64301358406883, 31.75754180777808 48.64291867276602, 31.7575076772034 48.6428266637962, 31.75746469252066 48.64273844325604, 31.75741326769586 48.64265486075758, 31.75735389797816 48.64257672124596, 31.7572871551304 48.6425047772474, 31.7572136819227 48.64243972162193, 31.7571341859422 48.64238218089078, 31.75704943277866 48.64233270920267, 31.75696023865137 48.64229178299698, 31.75686746254853 48.64225979641544, 31.75677199795474 48.64223705750633, 31.75667476424621 48.64222378525777, 31.75657669783672 48.64222010748876, 31.75647874315939 48.64222605961825, 31.75638184357132 48.64224158432395, 31.75628693226851 48.64226653209447, 31.75619492329869 48.64230066266914, 31.75610670275853 48.64234364735188, 31.75602312026006 48.64239507217668, 31.75594498074845 48.64245444189439, 31.75587303674989 48.64252118474214, 31.75580798112442 48.64259465794984, 31.75575044039327 48.64267415393034, 31.75570096870516 48.64275890709389, 31.62058172295507 48.90276083575533, 31.62054079674937 48.90285002988262, 31.62050881016784 48.90294280598545, 31.62048607125873 48.90303827057925, 31.62047279901017 48.90313550428777, 31.62046912124116 48.90323357069727, 31.62047507337064 48.9033315253746, 31.62049059807634 48.90342842496267, 31.62051554584686 48.90352333626548, 31.62054967642154 48.9036153452353, 31.62059266110428 48.90370356577546, 31.62064408592908 48.90378714827392, 31.62070345564678 48.90386528778554, 31.62077019849454 48.90393723178411, 31.62084367170224 48.90400228740958, 31.62092316768274 48.90405982814072, 31.62100792084628 48.90410929982883, 31.62109711497357 48.90415022603452, 31.62118989107641 48.90418221261606, 31.6212853556702 48.90420495152517, 31.62138258937873 48.90421822377373, 31.62148065578822 48.90422190154274, 31.62157861046554 48.90421594941326, 31.62167551005362 48.90420042470755, 31.62177042135643 48.90417547693703, 31.62186243032625 48.90414134636236, 31.62195065086641 48.90409836167962, 31.62203423336488 48.90404693685482, 31.62211237287649 48.90398756713711, 31.62218431687505 48.90392082428936, 31.62224937250052 48.90384735108166, 31.62230691323166 48.90376785510116, 31.62235638491978 48.90368310193762, 31.75747563066987 48.64368117327617))","عسكر,Khuzistan",POINT (31.68902867681247 48.77322100451575),31.689028676812473,48.77322100451575
"POLYGON ((31.8551815158321 48.15288815221954, 31.85508340952501 48.15288576492735, 31.85498554163105 48.1528930052303, 31.85488885467153 48.1529098034003, 31.85479427979474 48.1529359976618, 31.85470272780844 48.15297133574975, 31.8546150804083 48.15301547733903, 31.8545321816867 48.15306799732201, 31.85445483000364 48.15312838990255, 31.85438377029812 48.15319607346708, 31.85431968691395 48.15327039618587, 31.85426319700915 48.15335064229051, 31.85421484461238 48.15343603896716, 31.85417509538365 48.15352576379912, 31.85414433212977 48.15361895268723, 31.85412285111769 48.15371470817154, 31.85411085922129 48.1538121080744, 31.85410847192911 48.15391021438149, 31.85411571223205 48.15400808227545, 31.85413251040206 48.15410476923497, 31.85415870466356 48.15419934411176, 31.85419404275151 48.15429089609806, 31.85423818434079 48.1543785434982, 31.85429070432377 48.15446144221981, 31.85435109690431 48.15453879390286, 31.85441878046883 48.15460985360838, 31.85449310318763 48.15467393699255, 31.85457334929227 48.15473042689735, 31.85465874596892 48.15477877929413, 31.85474847080089 48.15481852852285, 31.85484165968899 48.15484929177673, 31.8549374151733 48.15487077278881, 31.85503481507616 48.1548827646852, 32.18171298690432 48.17890945437216, 32.18181109321142 48.17891184166435, 32.18190896110538 48.1789046013614, 32.18200564806489 48.1788878031914, 32.18210022294168 48.1788616089299, 32.18219177492799 48.17882627084195, 32.18227942232813 48.17878212925267, 32.18236232104973 48.17872960926969, 32.18243967273278 48.17866921668915, 32.1825107324383 48.17860153312462, 32.18257481582248 48.17852721040583, 32.18263130572728 48.17844696430119, 32.18267965812405 48.17836156762454, 32.18271940735278 48.17827184279258, 32.18275017060666 48.17817865390447, 32.18277165161874 48.17808289842016, 32.18278364351513 48.1779854985173, 32.18278603080732 48.17788739221021, 32.18277879050437 48.17778952431625, 32.18276199233437 48.17769283735673, 32.18273579807287 48.17759826247994, 32.18270045998492 48.17750671049364, 32.18265631839564 48.1774190630935, 32.18260379841266 48.17733616437189, 32.18254340583212 48.17725881268884, 32.18247572226759 48.17718775298332, 32.1824013995488 48.17712366959915, 32.18232115344416 48.17706717969435, 32.18223575676751 48.17701882729757, 32.18214603193555 48.17697907806885, 32.18205284304744 48.17694831481496, 32.18195708756313 48.17692683380289, 32.18185968766027 48.17691484190649, 31.8551815158321 48.15288815221954))","بذان,Khuzistan",POINT (32.01844725136821 48.16589880329586),32.01844725136821,48.16589880329586
"POLYGON ((22.1800778264187 39.38276545417985, 22.18010585873967 39.38267140772518, 22.1801245379128 39.38257506648196, 22.18013368404745 39.38247735826901, 22.18013320906135 39.38237922406985, 22.18012311752887 39.38228160897047, 22.18010350663697 39.38218545305763, 22.18007456524929 39.38209168236533, 22.18003657208718 39.3820011999566, 22.17998989304558 39.38191487722651, 22.17993497766918 39.38183354551012, 22.17987235482306 39.38175798807634, 22.17980262759948 39.38168893258455, 22.17972646750971 39.38162704407687, 22.17964460801705 39.3815729185735, 22.17955783747315 39.38152707733258, 22.1794669915258 39.38148996183036, 22.17937294507113 39.38146192950939, 22.1792766038279 39.38144325033625, 22.17917889561496 39.3814341042016, 22.1790807614158 39.3814345791877, 22.17898314631642 39.38144467072019, 22.17888699040357 39.38146428161208, 22.17879321971127 39.38149322299977, 22.17870273730255 39.38153121616187, 22.17861641457245 39.38157789520348, 22.17853508285607 39.38163281057988, 22.17845952542228 39.38169543342599, 22.17839046993049 39.38176516064957, 22.17832858142282 39.38184132073935, 22.17827445591944 39.38192318023201, 22.17822861467853 39.38200995077591, 22.1781914991763 39.38210079672326, 22.08465662106462 39.64755691542762, 22.08462858874366 39.6476509618823, 22.08460990957052 39.64774730312552, 22.08460076343587 39.64784501133847, 22.08460123842197 39.64794314553762, 22.08461132995445 39.648040760637, 22.08463094084635 39.64813691654984, 22.08465988223404 39.64823068724215, 22.08469787539614 39.64832116965087, 22.08474455443774 39.64840749238097, 22.08479946981414 39.64848882409736, 22.08486209266026 39.64856438153114, 22.08493181988384 39.64863343702293, 22.08500797997361 39.6486953255306, 22.08508983946627 39.64874945103398, 22.08517661001017 39.64879529227489, 22.08526745595752 39.64883240777711, 22.08536150241219 39.64886044009808, 22.08545784365542 39.64887911927122, 22.08555555186836 39.64888826540587, 22.08565368606752 39.64888779041977, 22.0857513011669 39.64887769888728, 22.08584745707975 39.64885808799539, 22.08594122777205 39.6488291466077, 22.08603171018077 39.6487911534456, 22.08611803291087 39.648744474404, 22.08619936462725 39.64868955902759, 22.08627492206104 39.64862693618149, 22.08634397755283 39.6485572089579, 22.0864058660605 39.64848104886813, 22.08645999156388 39.64839918937546, 22.08650583280479 39.64831241883157, 22.08654294830702 39.64822157288422, 22.1800778264187 39.38276545417985))","امج,Jazirat al-Arab,Yemen",POINT (22.13236722374167 39.51516118480374),22.132367223741667,39.51516118480374
"POLYGON ((31.64841599430651 34.9728962717145, 31.64832058925393 34.97287328427015, 31.6482233904392 34.97285975884706, 31.64812533394003 34.97285582570245, 31.64802736409412 34.97286152271464, 31.64793042440464 34.97287679501829, 31.64783544845379 34.97290149553278, 31.6477433509119 34.97293538637864, 31.64765501872863 34.9729781411685, 31.64757130259122 34.97302934815036, 31.64749300873181 34.973088514173, 31.64742089116308 34.97315506943527, 31.64735564441664 34.97322837297362, 31.64729789685432 34.9733077188349, 31.64724820461672 34.97339234287508, 31.64720704626724 34.97348143011841, 31.6471748181833 34.97357412260603, 31.64715183073896 34.97366952765861, 31.64713830531587 34.97376672647335, 31.64713437217125 34.97386478297251, 31.64714006918344 34.97396275281842, 31.6471553414871 34.97405969250791, 31.64718004200158 34.97415466845876, 31.64721393284744 34.97424676600065, 31.6472566876373 34.97433509818391, 31.64730789461916 34.97441881432133, 31.6473670606418 34.97449710818073, 31.64743361590407 34.97456922574946, 31.64750691944242 34.97463447249591, 31.6475862653037 34.97469222005822, 31.64767088934389 34.97474191229583, 31.64775997658721 34.97478307064531, 31.64785266907483 34.97481529872925, 32.05593716472656 35.09460740759054, 32.05603256977914 35.09463039503488, 32.05612976859388 35.09464392045797, 32.05622782509304 35.09464785360259, 32.05632579493895 35.0946421565904, 32.05642273462843 35.09462688428674, 32.05651771057929 35.09460218377225, 32.05660980812117 35.0945682929264, 32.05669814030443 35.09452553813654, 32.05678185644185 35.09447433115467, 32.05686015030126 35.09441516513203, 32.05693226786999 35.09434860986976, 32.05699751461643 35.09427530633141, 32.05705526217875 35.09419596047014, 32.05710495441636 35.09411133642995, 32.05714611276584 35.09402224918662, 32.05717834084977 35.093929556699, 32.05720132829412 35.09383415164642, 32.05721485371721 35.09373695283168, 32.05721878686182 35.09363889633252, 32.05721308984963 35.09354092648661, 32.05719781754598 35.09344398679713, 32.05717311703149 35.09334901084627, 32.05713922618563 35.09325691330439, 32.05709647139577 35.09316858112113, 32.05704526441391 35.09308486498371, 32.05698609839127 35.0930065711243, 32.056919543129 35.09293445355557, 32.05684623959065 35.09286920680913, 32.05676689372937 35.09281145924681, 32.05668226968919 35.0927617670092, 32.05659318244586 35.09272060865973, 32.05650048995824 35.09268838057579, 31.64841599430651 34.9728962717145))","مسجد ابراةيم,Sham",POINT (31.85217657951655 35.03375183965251),31.852176579516545,35.03375183965251
"POLYGON ((24.66000581652783 42.90792198901917, 24.66000496291857 42.90782385738305, 24.65999449483732 42.90772628194593, 24.65997451309743 42.90763020241259, 24.65994521013398 42.90753654408147, 24.65990686815052 42.90744620893349, 24.65985985640132 42.90736006694551, 24.65980462763521 42.90727894771197, 24.65974171373541 42.90720363245543, 24.65967172059717 42.90713484650298, 24.65959532229266 42.90707325230095, 24.65951325457933 42.90701944303517, 24.65942630781411 42.90697393691828, 24.65933531934189 42.90693717219908, 24.65924116543139 42.90690950294189, 24.65914475283624 42.9068911956168, 24.65904701006243 42.90688242653336, 24.65894887842632 42.90688328014262, 24.65885130298919 42.90689374822387, 24.65875522345585 42.90691372996375, 24.65866156512473 42.90694303292721, 24.65857122997675 42.90698137491066, 24.65848508798878 42.90702838665987, 24.65840396875524 42.90708361542598, 24.6583286534987 42.90714652932577, 24.65825986754625 42.90721652246402, 24.65819827334422 42.90729292076853, 24.65814446407843 42.90737498848186, 24.65809895796155 42.90746193524707, 24.65806219324234 42.90755292371929, 24.65803452398516 42.9076470776298, 24.65801621666007 42.90774349022495, 24.65800744757662 42.90784123299875, 24.65006822231883 43.10430338120364, 24.65006907592809 43.10440151283976, 24.65007954400934 43.10449908827688, 24.65009952574923 43.10459516781022, 24.65012882871268 43.10468882614134, 24.65016717069614 43.10477916128932, 24.65021418244534 43.10486530327729, 24.65026941121145 43.10494642251084, 24.65033232511125 43.10502173776737, 24.65040231824949 43.10509052371982, 24.65047871655399 43.10515211792185, 24.65056078426733 43.10520592718764, 24.65064773103255 43.10525143330452, 24.65073871950477 43.10528819802373, 24.65083287341527 43.10531586728091, 24.65092928601042 43.10533417460601, 24.65102702878422 43.10534294368945, 24.65112516042034 43.10534209008019, 24.65122273585747 43.10533162199894, 24.65131881539081 43.10531164025905, 24.65141247372193 43.1052823372956, 24.6515028088699 43.10524399531214, 24.65158895085788 43.10519698356294, 24.65167007009142 43.10514175479683, 24.65174538534796 43.10507884089704, 24.65181417130041 43.10500884775879, 24.65187576550244 43.10493244945428, 24.65192957476822 43.10485038174095, 24.65197508088511 43.10476343497574, 24.65201184560431 43.10467244650351, 24.6520395148615 43.10457829259301, 24.65205782218659 43.10448187999786, 24.65206659127004 43.10438413722406, 24.66000581652783 42.90792198901917))","ضریة,Jazirat al-Arab,Yemen",POINT (24.65503701942333 43.0061126851114),24.655037019423332,43.0061126851114
