name,lat,lng,status
HAMMAMIBNUMAR_443E323N_S_IRAQ,32.39084,44.34773,old
سفا,null,null,null
HISNMAHDI_483E305N_S_KHUZ,30.52571,48.33301,old
SAMMURA_057W414N_S_ANDA,41.44051,-5.76776,old
MARABADH_630E343N_S_KHUR,34.3371,63.00426,old
RUSAFA_387E356N_S_SHAM,35.60242,38.77933,old
كسكانة,null,null,null
شاواب,null,null,null
TURTHITH_584E351N_S_KHUR,35.13557,58.4113,old
HAJR_467E246N_S_JAZI,24.64352,46.73212,old
SUWAYDIYYA_359E360N_S_SHAM,36.0896,35.99387,old
FARAH_620E323N_S_SIJI,32.35928,62.06561,old
جابروان,null,null,null
MAYYAFARIQIN_410E381N_S_AQUR,38.14322,41.00798,old
یبنبم,null,null,null
DAKHARRAQAN_459E377N_S_RIHA,37.72041,45.98591,old
DASKAKHANKHAS_599E418N_S_TRAN,41.84474,59.93725,old
SIKKAHAMMAM_267E311N_S_BARQ,31.19426,26.77604,old
أستراباذ,null,null,null
DASHTARZAN_519E296N_S_FARI,29.6096,51.94222,old
JIKAM_647E395N_S_TRAN,39.58498,64.73843,old
KARAK_356E311N_S_SHAM,31.17824,35.69038,old
جب سعيد,null,null,null
قصر يزيد,null,null,null
JABILTA_437E346N_S_IRAQ,34.62614,43.72814,old
KHAWAS_688E402N_S_TRAN,40.22314,68.82906,old
KHUSRAWJIRD_574E361N_S_KHUR,36.18956,57.47851,old
SIWI_678E295N_S_SIJI,29.53796,67.85288,old
سابرخواس,null,null,null
HAFDAR_561E363N_S_DAYL,36.36629,56.13276,old
TURMUGHAN_708E407N_S_TRAN,40.78105,70.89318,old
BARZA_462E365N_S_RIHA,36.5057,46.2141,old
BALAD_427E364N_S_AQUR,36.47417,42.758,old
مسجد أويس,null,null,null
AZAM_490E312N_S_KHUZ,31.24752,49.04158,old
KAFARSABA_348E321N_S_SHAM,32.17778,34.88134,old
TALASTANA_614E370N_S_KHUR,37.03409,61.47492,old
ريك,null,null,null
ASADABADH_626E362N_S_KHUR,36.29294,62.67861,old
