geometry,name,cenroid,centerLat,centerLon
"POLYGON ((36.48196718212346 64.61858337739105, 36.48203524992469 64.61851268565822, 36.48209606095936 64.61843566251417, 36.48214902958395 64.61835304973391, 36.48219364568167 64.61826564292365, 36.48222947957509 64.61817428385875, 36.48225618616424 64.61807985237697, 36.48227350825005 64.61798325790508, 36.48228127901139 64.61788543070067, 36.48227942361156 64.61778731289317, 36.48226795991908 64.61768984941074, 36.48224699833558 64.61759397887995, 36.48221674073257 64.61750062458644, 36.4821774785073 64.61741068558311, 36.48212958977646 64.61732502803169, 36.48207353573471 64.61724447686125, 36.48200985621312 64.61716980782359, 36.48193916448028 64.61710174002235, 36.48186214133624 64.61704092898769, 36.48177952855597 64.61698796036309, 36.48169212174571 64.61694334426538, 36.48160076268081 64.61690751037196, 36.48150633119904 64.61688080378281, 36.48140973672715 64.616863481697, 36.48131190952273 64.61685571093565, 36.48121379171524 64.61685756633548, 36.48111632823279 64.61686903002796, 36.48102045770201 64.61688999161146, 36.48092710340851 64.61692024921447, 36.48083716440517 64.61695951143975, 36.48075150685375 64.61700740017058, 36.48067095568331 64.61706345421233, 36.48059628664565 64.61712713373393, 35.90471339018762 65.15925842792718, 35.90464532238639 65.15932911966001, 35.90458451135171 65.15940614280406, 35.90453154272712 65.15948875558432, 35.9044869266294 65.15957616239459, 35.90445109273598 65.15966752145948, 35.90442438614684 65.15976195294127, 35.90440706406102 65.15985854741315, 35.90439929329968 65.15995637461756, 35.90440114869951 65.16005449242506, 35.90441261239199 65.16015195590749, 35.90443357397549 65.16024782643828, 35.9044638315785 65.16034118073179, 35.90450309380378 65.16043111973512, 35.90455098253462 65.16051677728655, 35.90460703657637 65.16059732845699, 35.90467071609795 65.16067199749465, 35.90474140783079 65.16074006529588, 35.90481843097483 65.16080087633054, 35.9049010437551 65.16085384495514, 35.90498845056536 65.16089846105285, 35.90507980963026 65.16093429494627, 35.90517424111204 65.16096100153543, 35.90527083558392 65.16097832362124, 35.90536866278834 65.16098609438258, 35.90546678059583 65.16098423898275, 35.90556424407828 65.16097277529028, 35.90566011460906 65.16095181370677, 35.90575346890256 65.16092155610376, 35.90584340790591 65.16088229387849, 35.90592906545732 65.16083440514765, 35.90600961662776 65.1607783511059, 35.90608428566542 65.1607146715843, 36.48196718212346 64.61858337739105))","قصر الامير,Khurasan,Sijistan,Transoxiana",POINT (36.19334028615553 64.88892090265911),36.193340286155525,64.88892090265911
"POLYGON ((22.1800778264187 39.38276545417985, 22.18010585873967 39.38267140772518, 22.1801245379128 39.38257506648196, 22.18013368404745 39.38247735826901, 22.18013320906135 39.38237922406985, 22.18012311752887 39.38228160897047, 22.18010350663697 39.38218545305763, 22.18007456524929 39.38209168236533, 22.18003657208718 39.3820011999566, 22.17998989304558 39.38191487722651, 22.17993497766918 39.38183354551012, 22.17987235482306 39.38175798807634, 22.17980262759948 39.38168893258455, 22.17972646750971 39.38162704407687, 22.17964460801705 39.3815729185735, 22.17955783747315 39.38152707733258, 22.1794669915258 39.38148996183036, 22.17937294507113 39.38146192950939, 22.1792766038279 39.38144325033625, 22.17917889561496 39.3814341042016, 22.1790807614158 39.3814345791877, 22.17898314631642 39.38144467072019, 22.17888699040357 39.38146428161208, 22.17879321971127 39.38149322299977, 22.17870273730255 39.38153121616187, 22.17861641457245 39.38157789520348, 22.17853508285607 39.38163281057988, 22.17845952542228 39.38169543342599, 22.17839046993049 39.38176516064957, 22.17832858142282 39.38184132073935, 22.17827445591944 39.38192318023201, 22.17822861467853 39.38200995077591, 22.1781914991763 39.38210079672326, 22.08465662106462 39.64755691542762, 22.08462858874366 39.6476509618823, 22.08460990957052 39.64774730312552, 22.08460076343587 39.64784501133847, 22.08460123842197 39.64794314553762, 22.08461132995445 39.648040760637, 22.08463094084635 39.64813691654984, 22.08465988223404 39.64823068724215, 22.08469787539614 39.64832116965087, 22.08474455443774 39.64840749238097, 22.08479946981414 39.64848882409736, 22.08486209266026 39.64856438153114, 22.08493181988384 39.64863343702293, 22.08500797997361 39.6486953255306, 22.08508983946627 39.64874945103398, 22.08517661001017 39.64879529227489, 22.08526745595752 39.64883240777711, 22.08536150241219 39.64886044009808, 22.08545784365542 39.64887911927122, 22.08555555186836 39.64888826540587, 22.08565368606752 39.64888779041977, 22.0857513011669 39.64887769888728, 22.08584745707975 39.64885808799539, 22.08594122777205 39.6488291466077, 22.08603171018077 39.6487911534456, 22.08611803291087 39.648744474404, 22.08619936462725 39.64868955902759, 22.08627492206104 39.64862693618149, 22.08634397755283 39.6485572089579, 22.0864058660605 39.64848104886813, 22.08645999156388 39.64839918937546, 22.08650583280479 39.64831241883157, 22.08654294830702 39.64822157288422, 22.1800778264187 39.38276545417985))","امج,Jazirat al-Arab,Yemen",POINT (22.13236722374167 39.51516118480374),22.132367223741667,39.51516118480374
"POLYGON ((32.45769536552194 45.68854165390218, 32.45759731978669 45.68853746099683, 32.45749933519186 45.68854289844406, 32.45740235538267 45.68855791387826, 32.45730731432769 45.68858236269261, 32.45721512732423 45.68861600943167, 32.45712668218353 45.68865853005893, 32.45704283068065 45.68870951507752, 32.4569643803514 45.68876847347383, 32.45689208671533 45.68883483744628, 32.45682664599968 45.68890796787354, 32.45676868843431 45.68898716046961, 32.45671877218226 45.6890716525665, 32.45667737796433 45.68916063045913, 32.45664490442945 45.68925323724176, 32.45662166431554 45.68934858106044, 32.45660788143758 45.68944574370208, 32.45660368853223 45.68954378943733, 32.45660912597945 45.68964177403215, 32.45662414141365 45.68973875384135, 32.45664859022801 45.68983379489633, 32.45668223696706 45.68992598189979, 32.45672475759432 45.69001442704049, 32.45677574261291 45.69009827854337, 32.45683470100922 45.69017672887261, 32.45690106498167 45.69024902250869, 32.45697419540893 45.69031446322434, 32.457053388005 45.69037242078971, 32.45713788010189 45.69042233704175, 32.45722685799452 45.69046373125969, 32.45731946477715 45.69049620479456, 32.45741480859583 45.69051944490847, 32.45751197123747 45.69053322778644, 32.63773274376601 45.7071288760247, 32.63783078950126 45.70713306893006, 32.63792877409608 45.70712763148283, 32.63802575390527 45.70711261604863, 32.63812079496026 45.70708816723428, 32.63821298196372 45.70705452049522, 32.63830142710442 45.70701199986796, 32.63838527860729 45.70696101484937, 32.63846372893654 45.70690205645306, 32.63853602257262 45.70683569248061, 32.63860146328827 45.70676256205335, 32.63865942085364 45.70668336945728, 32.63870933710568 45.70659887736039, 32.63875073132362 45.70650989946776, 32.63878320485849 45.70641729268513, 32.6388064449724 45.70632194886645, 32.63882022785037 45.70622478622481, 32.63882442075572 45.70612674048956, 32.6388189833085 45.70602875589474, 32.6388039678743 45.70593177608554, 32.63877951905994 45.70583673503056, 32.63874587232088 45.7057445480271, 32.63870335169362 45.7056561028864, 32.63865236667503 45.70557225138352, 32.63859340827872 45.70549380105427, 32.63852704430627 45.7054215074182, 32.63845391387901 45.70535606670255, 32.63837472128294 45.70529810913718, 32.63829022918605 45.70524819288514, 32.63820125129342 45.7052067986672, 32.63810864451079 45.70517432513233, 32.63801330069212 45.70515108501841, 32.63791613805047 45.70513730214045, 32.45769536552194 45.68854165390218))","جبل,Iraq",POINT (32.54771405464398 45.69783526496344),32.547714054643976,45.697835264963445
"POLYGON ((29.43670390368631 51.67035070813581, 29.43660686317208 51.67033609015874, 29.43650885712213 51.67033105420494, 29.43641082938832 51.67033564877337, 29.4363137240313 51.67034982961585, 29.43621847622874 51.6703734601631, 29.43612600326905 51.67040631284004, 29.43603719571739 51.67044807125742, 29.43595290883901 51.67049833325886, 29.43587395436264 51.67055661479382, 29.43580109266304 51.67062235457924, 29.43573502543822 51.67069491950507, 29.43567638895166 51.67077361073138, 29.43562574790478 51.67085767041867, 29.43558358999855 51.67094628902618, 29.43555032123664 51.67103861310829, 29.43552626201544 51.67113375353362, 29.43551164403837 51.67123079404784, 29.43550660808457 51.67132880009778, 29.43551120265301 51.6714268278316, 29.43552538349548 51.67152393318862, 29.43554901404273 51.67161918099118, 29.43558186671967 51.67171165395087, 29.43562362513705 51.67180046150254, 29.4356738871385 51.67188474838091, 29.43573216867345 51.67196370285728, 29.43579790845888 51.67203656455688, 29.4358704733847 51.6721026317817, 29.43594916461102 51.67216126826826, 29.4360332242983 51.67221190931514, 29.43612184290582 51.67225406722137, 29.43621416698792 51.67228733598328, 29.43630930741325 51.67231139520448, 30.00763634777786 51.78729329335013, 30.0077333882921 51.7873079113272, 30.00783139434204 51.787312947281, 30.00792942207585 51.78730835271256, 30.00802652743287 51.78729417187009, 30.00812177523543 51.78727054132284, 30.00821424819512 51.7872376886459, 30.00830305574679 51.78719593022852, 30.00838734262516 51.78714566822708, 30.00846629710153 51.78708738669212, 30.00853915880113 51.78702164690669, 30.00860522602595 51.78694908198087, 30.00866386251252 51.78687039075456, 30.00871450355939 51.78678633106727, 30.00875666146563 51.78669771245976, 30.00878993022753 51.78660538837764, 30.00881398944874 51.78651024795232, 30.0088286074258 51.78641320743809, 30.0088336433796 51.78631520138816, 30.00882904881117 51.78621717365434, 30.00881486796869 51.78612006829732, 30.00879123742144 51.78602482049476, 30.0087583847445 51.78593234753507, 30.00871662632712 51.7858435399834, 30.00866636432568 51.78575925310503, 30.00860808279072 51.78568029862866, 30.0085423430053 51.78560743692906, 30.00846977807947 51.78554136970423, 30.00839108685316 51.78548273321768, 30.00830702716587 51.78543209217079, 30.00821840855836 51.78538993426456, 30.00812608447625 51.78535666550266, 30.00803094405093 51.78533260628146, 29.43670390368631 51.67035070813581))","كرك,Faris",POINT (29.72217012573208 51.72882200074299),29.722170125732085,51.72882200074299
"POLYGON ((30.63317517664713 43.52898300635511, 30.63321313441772 43.52889250909378, 30.6332420391285 43.52879872708937, 30.63326161241132 43.52870256351387, 30.63327166576475 43.52860494447504, 30.63327210236951 43.52850681009762, 30.63326291802086 43.5284091054693, 30.6332442011691 43.52831277153906, 30.63321613206773 43.52821873605531, 30.63317898103755 43.52812790463117, 30.63313310586328 43.52804115202289, 30.63307894834794 43.52795931370554, 30.63301703005801 43.52788317782683, 30.63294794730045 43.5278134776169, 30.63287236538 43.52775088432687, 30.63279101219186 43.52769600076434, 30.63270467121171 43.52764935548804, 30.63261417395038 43.52761139771744, 30.63252039194598 43.52758249300666, 30.63242422837047 43.52756291972384, 30.63232660933165 43.52755286637041, 30.63222847495422 43.52755242976565, 30.6321307703259 43.5275616141143, 30.63203443639566 43.52758033096607, 30.63194040091192 43.52760840006744, 30.63184956948777 43.52764555109762, 30.6317628168795 43.52769142627188, 30.63168097856214 43.52774558378722, 30.63160484268343 43.52780750207715, 30.6315351424735 43.52787658483471, 30.63147254918347 43.52795216675516, 30.63141766562095 43.5280335199433, 30.63137102034464 43.52811986092345, 30.43988627939473 43.92836342306889, 30.43984832162414 43.92845392033021, 30.43981941691336 43.92854770233462, 30.43979984363054 43.92864386591013, 30.4397897902771 43.92874148494895, 30.43978935367234 43.92883961932637, 30.43979853802099 43.92893732395469, 30.43981725487276 43.92903365788493, 30.43984532397413 43.92912769336868, 30.43988247500431 43.92921852479282, 30.43992835017857 43.9293052774011, 30.43998250769391 43.92938711571846, 30.44004442598385 43.92946325159716, 30.4401135087414 43.9295329518071, 30.44018909066186 43.92959554509712, 30.44027044384999 43.92965042865965, 30.44035678483014 43.92969707393596, 30.44044728209147 43.92973503170655, 30.44054106409587 43.92976393641733, 30.44063722767139 43.92978350970015, 30.44073484671021 43.92979356305358, 30.44083298108763 43.92979399965834, 30.44093068571595 43.9297848153097, 30.44102701964619 43.92976609845793, 30.44112105512994 43.92973802935656, 30.44121188655409 43.92970087832637, 30.44129863916236 43.92965500315211, 30.44138047747971 43.92960084563677, 30.44145661335843 43.92953892734684, 30.44152631356836 43.92946984458928, 30.44158890685838 43.92939426266883, 30.44164379042091 43.92931290948069, 30.44169043569722 43.92922656850054, 30.63317517664713 43.52898300635511))","واقصة,Badiyat al-Arab",POINT (30.53653072802093 43.728673214712),30.53653072802093,43.728673214711996
"POLYGON ((31.64841599430651 34.9728962717145, 31.64832058925393 34.97287328427015, 31.6482233904392 34.97285975884706, 31.64812533394003 34.97285582570245, 31.64802736409412 34.97286152271464, 31.64793042440464 34.97287679501829, 31.64783544845379 34.97290149553278, 31.6477433509119 34.97293538637864, 31.64765501872863 34.9729781411685, 31.64757130259122 34.97302934815036, 31.64749300873181 34.973088514173, 31.64742089116308 34.97315506943527, 31.64735564441664 34.97322837297362, 31.64729789685432 34.9733077188349, 31.64724820461672 34.97339234287508, 31.64720704626724 34.97348143011841, 31.6471748181833 34.97357412260603, 31.64715183073896 34.97366952765861, 31.64713830531587 34.97376672647335, 31.64713437217125 34.97386478297251, 31.64714006918344 34.97396275281842, 31.6471553414871 34.97405969250791, 31.64718004200158 34.97415466845876, 31.64721393284744 34.97424676600065, 31.6472566876373 34.97433509818391, 31.64730789461916 34.97441881432133, 31.6473670606418 34.97449710818073, 31.64743361590407 34.97456922574946, 31.64750691944242 34.97463447249591, 31.6475862653037 34.97469222005822, 31.64767088934389 34.97474191229583, 31.64775997658721 34.97478307064531, 31.64785266907483 34.97481529872925, 32.05593716472656 35.09460740759054, 32.05603256977914 35.09463039503488, 32.05612976859388 35.09464392045797, 32.05622782509304 35.09464785360259, 32.05632579493895 35.0946421565904, 32.05642273462843 35.09462688428674, 32.05651771057929 35.09460218377225, 32.05660980812117 35.0945682929264, 32.05669814030443 35.09452553813654, 32.05678185644185 35.09447433115467, 32.05686015030126 35.09441516513203, 32.05693226786999 35.09434860986976, 32.05699751461643 35.09427530633141, 32.05705526217875 35.09419596047014, 32.05710495441636 35.09411133642995, 32.05714611276584 35.09402224918662, 32.05717834084977 35.093929556699, 32.05720132829412 35.09383415164642, 32.05721485371721 35.09373695283168, 32.05721878686182 35.09363889633252, 32.05721308984963 35.09354092648661, 32.05719781754598 35.09344398679713, 32.05717311703149 35.09334901084627, 32.05713922618563 35.09325691330439, 32.05709647139577 35.09316858112113, 32.05704526441391 35.09308486498371, 32.05698609839127 35.0930065711243, 32.056919543129 35.09293445355557, 32.05684623959065 35.09286920680913, 32.05676689372937 35.09281145924681, 32.05668226968919 35.0927617670092, 32.05659318244586 35.09272060865973, 32.05650048995824 35.09268838057579, 31.64841599430651 34.9728962717145))","مسجد ابراةيم,Sham",POINT (31.85217657951655 35.03375183965251),31.852176579516545,35.03375183965251
"POLYGON ((36.73678090853651 42.7815812688051, 36.73670029822262 42.78152529984987, 36.73661459015248 42.7814775015929, 36.73652460974166 42.78143833435754, 36.73643122355072 42.78140817534567, 36.73633533093972 42.78138731500508, 36.73623785540691 42.78137595423224, 36.73613973569497 42.7813742024376, 36.73604191675036 42.78138207649191, 36.73594534062299 42.78139950056372, 36.73585093739376 42.78142630684968, 36.73575961621739 42.78146223719062, 36.73567225656669 42.7815069455577, 36.7355896997629 42.78156000138492, 36.73551274087313 42.78162089371565, 36.73544212105358 42.78168903612346, 36.73537852041171 42.78176377235972, 36.73532255145648 42.78184438267361, 36.73527475319951 42.78193009074375, 36.73523558596415 42.78202007115456, 36.73520542695229 42.7821134573455, 36.7351845666117 42.78220934995651, 36.73517320583885 42.78230682548932, 36.73517145404422 42.78240494520126, 36.73517932809852 42.78250276414587, 36.73519675217033 42.78259934027324, 36.7352235584563 42.78269374350246, 36.73525948879723 42.78278506467884, 36.73530419716432 42.78287242432953, 36.73535725299153 42.78295498113333, 36.73541814532226 42.78303194002309, 36.73548628773008 42.78310255984265, 36.73556102396633 42.78316616048451, 37.01335184904377 42.99698060954077, 37.01343245935766 42.997036578496, 37.0135181674278 42.99708437675297, 37.01360814783861 42.99712354398833, 37.01370153402955 42.99715370300019, 37.01379742664056 42.99717456334078, 37.01389490217337 42.99718592411363, 37.01399302188531 42.99718767590826, 37.01409084082992 42.99717980185396, 37.01418741695728 42.99716237778215, 37.01428182018651 42.99713557149619, 37.01437314136289 42.99709964115525, 37.01446050101358 42.99705493278817, 37.01454305781738 42.99700187696095, 37.01462001670714 42.99694098463022, 37.01469063652669 42.99687284222241, 37.01475423716856 42.99679810598615, 37.01481020612379 42.99671749567226, 37.01485800438076 42.99663178760212, 37.01489717161612 42.99654180719131, 37.01492733062798 42.99644842100037, 37.01494819096857 42.99635252838936, 37.01495955174142 42.99625505285655, 37.01496130353605 42.99615693314461, 37.01495342948175 42.9960591142, 37.01493600540994 42.99596253807263, 37.01490919912398 42.99586813484341, 37.01487326878304 42.99577681366703, 37.01482856041596 42.99568945401634, 37.01477550458874 42.99560689721254, 37.01471461225801 42.99552993832278, 37.0146464698502 42.99545931850322, 37.01457173361394 42.99539571786136, 36.73678090853651 42.7815812688051))","معلثايا,Aqur",POINT (36.87506637879014 42.88928093917292),36.87506637879014,42.88928093917292
"POLYGON ((33.74830256121528 44.10765764771155, 33.74821313788634 44.10761722476143, 33.74812018301319 44.10758576147786, 33.74802459180208 44.10756356086944, 33.74792728484863 44.10755083674017, 33.74782919927199 44.10754771163037, 33.74773127968989 44.10755421563655, 33.74763446912142 44.10757028612159, 33.7475396999053 44.10759576831794, 33.74744788472086 44.10763041681808, 33.74735990779854 44.10767389793806, 33.74727661640418 44.10772579293089, 33.74719881267944 44.10778560201944, 33.74712724591674 44.10785274920949, 33.7470626053431 44.10792658783689, 33.74700551348261 44.10800640679529, 33.74695652016106 44.10809143738449, 33.74691609721095 44.10818086071343, 33.74688463392737 44.10827381558659, 33.74686243331895 44.10836940679769, 33.74684970918968 44.10846671375114, 33.74684658407988 44.10856479932778, 33.74685308808607 44.10866271890988, 33.74686915857111 44.10875952947835, 33.74689464076745 44.10885429869447, 33.7469292892676 44.10894611387891, 33.74697277038757 44.10903409080123, 33.74702466538041 44.10911738219559, 33.74708447446896 44.10919518592033, 33.74715162165901 44.10926675268303, 33.7472254602864 44.10933139325667, 33.74730527924481 44.10938848511717, 33.747390309834 44.10943747843871, 34.04351442720227 44.26121575205538, 34.04360385053121 44.26125617500549, 34.04369680540437 44.26128763828907, 34.04379239661547 44.26130983889749, 34.04388970356892 44.26132256302676, 34.04398778914556 44.26132568813656, 34.04408570872766 44.26131918413037, 34.04418251929613 44.26130311364533, 34.04427728851226 44.26127763144899, 34.04436910369669 44.26124298294884, 34.04445708061901 44.26119950182887, 34.04454037201337 44.26114760683603, 34.04461817573811 44.26108779774749, 34.04468974250081 44.26102065055743, 34.04475438307445 44.26094681193004, 34.04481147493495 44.26086699297164, 34.04486046825649 44.26078196238244, 34.0449008912066 44.26069253905349, 34.04493235449018 44.26059958418034, 34.0449545550986 44.26050399296923, 34.04496727922787 44.26040668601578, 34.04497040433767 44.26030860043915, 34.04496390033148 44.26021068085704, 34.04494782984644 44.26011387028858, 34.0449223476501 44.26001910107245, 34.04488769914995 44.25992728588802, 34.04484421802998 44.2598393089657, 34.04479232303714 44.25975601757133, 34.0447325139486 44.2596782138466, 34.04466536675854 44.25960664708389, 34.04459152813115 44.25954200651026, 34.04451170917275 44.25948491464976, 34.04442667858355 44.25943592132822, 33.74830256121528 44.10765764771155))","باحمشا,Iraq",POINT (33.89590849420877 44.18443669988346),33.89590849420877,44.18443669988346
"POLYGON ((22.00731410910447 69.61658208852668, 22.00721644291437 69.61659167299159, 22.00712018645551 69.61661078426532, 22.00702626673021 69.61663923829589, 22.00693558823677 69.61667676105542, 22.00684902425865 69.61672299117922, 22.00676740845427 69.61677748344592, 22.00669152682844 69.61683971306522, 22.00662211016272 69.61690908073186, 22.00655982697753 69.61698491839729, 22.00650527709399 69.61706649570334, 22.00645898585731 69.61715302701595, 22.0064213990774 69.61724367899129, 22.00639287873549 69.61733757860125, 22.00637369949807 69.6174338215413, 22.00636404607169 69.61753148093928, 22.0063640114241 69.61762961628182, 22.006373595889 69.61772728247192, 22.00639270716274 69.61782353893078, 22.0064211611933 69.61791745865607, 22.00645868395283 69.61800813714952, 22.00650491407662 69.61809470112765, 22.00655940634333 69.61817631693202, 22.00662163596263 69.61825219855784, 22.00669100362927 69.61832161522356, 22.00676684129471 69.61838389840877, 22.00684841860075 69.6184384482923, 22.00693494991337 69.61848473952898, 22.0070256018887 69.61852232630889, 22.00711950149867 69.61855084665079, 22.00721574443871 69.61857002588822, 22.00731340383669 69.61857967931461, 22.00741153917923 69.61857971396219, 36.46865793672122 68.91326214410584, 36.46875560291132 68.91325255964094, 36.46885185937018 68.91323344836721, 36.46894577909548 68.91320499433664, 36.46903645758892 68.91316747157711, 36.46912302156705 68.91312124145331, 36.46920463737143 68.91306674918661, 36.46928051899725 68.91300451956731, 36.46934993566298 68.91293515190067, 36.46941221884816 68.91285931423523, 36.4694667687317 68.91277773692919, 36.46951305996838 68.91269120561658, 36.4695506467483 68.91260055364124, 36.4695791670902 68.91250665403128, 36.46959834632761 68.91241041109123, 36.469607999754 68.91231275169325, 36.46960803440159 68.91221461635071, 36.4695984499367 68.91211695016061, 36.46957933866296 68.91202069370175, 36.46955088463239 68.91192677397646, 36.46951336187287 68.91183609548301, 36.46946713174907 68.91174953150488, 36.46941263948236 68.91166791570051, 36.46935040986306 68.91159203407469, 36.46928104219642 68.91152261740896, 36.46920520453099 68.91146033422376, 36.46912362722494 68.91140578434023, 36.46903709591233 68.91135949310355, 36.468946443937 68.91132190632364, 36.46885254432703 68.91129338598174, 36.46875630138698 68.91127420674431, 36.468658641989 68.91126455331792, 36.46856050664646 68.91126451867034, 22.00731410910447 69.61658208852668))","بالس,Sind",POINT (29.23798602291291 69.26492211631626),29.237986022912906,69.26492211631626
"POLYGON ((31.29095517841855 66.15682622227797, 31.29085789729858 66.1568391424309, 31.29076235101023 66.15686153558696, 31.29066945971649 66.15689318608779, 31.2905801180113 66.15693378912179, 31.29049518630413 66.15698295365954, 31.29041548253373 66.15704020621966, 31.29034177429099 66.1571049954287, 31.29027477142659 66.15717669733117, 31.29021511921473 66.15725462139854, 31.29016339213881 66.15733801717944, 31.29012008835887 66.15742608152692, 31.29008562491396 66.15751796633319, 31.29006033370592 66.1576127866973, 31.29004445830288 66.15770962944734, 31.29003815159368 66.15780756193466, 31.29004147431536 66.1579056410159, 31.29005439446829 66.15800292213588, 31.29007678762434 66.15809846842423, 31.29010843812518 66.15819135971796, 31.29014904115918 66.15828070142315, 31.29019820569692 66.15836563313033, 31.29025545825704 66.15844533690073, 31.29032024746608 66.15851904514346, 31.29039194936855 66.15858604800786, 31.29046987343592 66.15864570021974, 31.29055326921683 66.15869742729565, 31.29064133356431 66.15874073107558, 31.29073321837057 66.15877519452049, 31.29082803873468 66.15880048572853, 31.29092488148472 66.15881636113157, 31.29102281397205 66.15882266784078, 31.29112089305329 66.1588193451191, 32.15823705064165 66.08672452268307, 32.15833433176162 66.08671160253014, 32.15842987804997 66.08668920937409, 32.15852276934371 66.08665755887326, 32.1586121110489 66.08661695583925, 32.15869704275607 66.0865677913015, 32.15877674652647 66.08651053874138, 32.1588504547692 66.08644574953234, 32.15891745763361 66.08637404762987, 32.15897710984547 66.08629612356251, 32.15902883692139 66.0862127277816, 32.15907214070133 66.08612466343412, 32.15910660414624 66.08603277862785, 32.15913189535429 66.08593795826374, 32.15914777075731 66.0858411155137, 32.15915407746652 66.08574318302638, 32.15915075474484 66.08564510394514, 32.15913783459191 66.08554782282516, 32.15911544143586 66.08545227653681, 32.15908379093502 66.08535938524308, 32.15904318790103 66.08527004353789, 32.15899402336328 66.08518511183071, 32.15893677080316 66.08510540806031, 32.15887198159411 66.08503169981758, 32.15880027969165 66.08496469695318, 32.15872235562428 66.0849050447413, 32.15863895984337 66.08485331766539, 32.15855089549589 66.08481001388546, 32.15845901068963 66.08477555044055, 32.15836419032551 66.08475025923251, 32.15826734757548 66.08473438382947, 32.15816941508815 66.08472807712026, 32.15807133600691 66.08473139984194, 31.29095517841855 66.15682622227797))","خرسان,Khurasan,Sijistan,Transoxiana",POINT (31.72459611453011 66.12177537248051),31.724596114530108,66.12177537248051
