null_node,direct_neighbor1,distance1,direct_neighbor2,distance2
"['رباط علياباذ', 'SIMNAN_534E354N_S', '37987.00561797753', 'JARMJUWI_540E359N_S', '37987.00561797753']"
"['وفراوندة', 'KARAJ_495E338N_R', '37987.00561797753', 'DARAQAN_487E334N_S', '37987.00561797753']"
"['المعلاة', 'RAWHA_392E241N_S', '37987.00561797753', 'BADR_447E138N_R', '37987.00561797753']"
"['بستان بنى عامر', 'DHATIRQ_404E216N_S', '37987.00561797753', 'MAKKA_398E213N_S', '37987.00561797753']"
"['ذات السلاسل', 'FUSTAT_312E300N_S', '37987.00561797753', 'TARNUT_308E304N_S', '37987.00561797753']"
"['جنكى', 'RIBATHAJARIYYA_658E313N_S', '37987.00561797753', 'RIBAT_068W339N_S', '37987.00561797753']"
"['اريحاء', 'BAYTRAM_356E318N_S', '23504.153846153848', 'RAMLA_348E319N_S', '37987.00561797753']"
"['مجدل سلم', 'BANIYAS_356E332N_S', '23504.153846153848', 'SUR_352E332N_S', '23504.153846153848']"
"['خير', 'NAYRIZ_542E292N_R', '37987.00561797753', 'KATH_607E417N_S', '37987.00561797753']"
"['قرية الرمل', 'QURQUB_477E321N_S', '37987.00561797753', 'BASINNA_483E319N_S', '37987.00561797753']"
"['قنوان', 'JARBADHAQAN_502E333N_S', '37987.00561797753', 'MARJWA-ZAHR_509E330N_S', '37987.00561797753']"
"['شوروخ', 'RAML_631E401N_S', '37987.00561797753', 'RIBATTASH_638E399N_S', '37987.00561797753']"
"['طبوس', 'MALATIN_383E383N_S', '37987.00561797753', 'SHIMSHAT_398E386N_S', '37987.00561797753']"
"['الغريفة', 'HASHIYYA_398E314N_S', '28156.0', 'QURAKIR_377E313N_S', '28156.0']"
"['خان', 'BASINNA_483E319N_S', '37987.00561797753', 'DAWRAQ_489E308N_R', '37987.00561797753']"
"['طرابلس', 'DIMASHQ_363E335N_S', '84568.0', 'BAYRUT_355E339N_S', '37987.00561797753']"
"['يعاث', 'BALABAKK_361E340N_S', '18993.502808988764', 'JUSIYA_365E344N_S', '37987.00561797753']"
"['كورستان', 'JISRJAHANNAM_502E314N_S', '37987.00561797753', 'RIBAT_068W339N_S', '37987.00561797753']"
"['باحمشا', 'QADISIYYA_441E316N_S', '37987.00561797753', 'UKBARA_442E338N_S', '18993.502808988764']"
"['غبيرا', 'KHANNAB_567E298N_S', '37987.00561797753', 'KUGHUN_570E296N_S', '2888.2']"
"['الكبس', 'KATANA_102E336N_S', '37987.00561797753', 'QAYRAWAN_101E357N_S', '37987.00561797753']"
"['سالوس', 'NATIL_519E364N_S', '37987.00561797753', 'KALLAR_519E307N_S', '37987.00561797753']"
"['نفرة', 'HUWARA_004E355N_S', '281560.0', 'SAMMURA_057W414N_S', '112624.0']"
"['البذان', 'BASINNA_483E319N_S', '23504.153846153848', 'BAYRUT_355E339N_S', '37987.00561797753']"
"['املوتا', 'DINAZARI_559E375N_S', '37987.00561797753', 'AJGH_569E375N_S', '37987.00561797753']"
"['قصر يزيد', 'MARJ_462E343N_S', '23504.153846153848', 'ZUBAYDIYYA_469E344N_S', '37987.00561797753']"
"['ماذرواستان', 'MARJ_462E343N_S', '37987.00561797753', 'HULWAN_562E339N_S', '23504.153846153848']"
"['مسجد أويس', 'MADAN_091W386N_S', '37987.00561797753', 'ARZAN_416E379N_S', '37987.00561797753']"
"['دير بازما', 'DASKARA_449E339N_S', '37987.00561797753', 'NAHRAWAN_445E334N_S', '23504.153846153848']"
"['نهر الاردن', 'AMMAN_359E319N_S', '37987.00561797753', 'BAYTMAQDIS_352E317N_S', '37987.00561797753']"
"['عميان', 'MAAB_357E312N_S', '37987.00561797753', 'ZARQA_360E320N_S', '37987.00561797753']"
"['راس العقبة', 'DARIZ_515E296N_S', '23504.153846153848', 'TUZ_422E267N_S', '23504.153846153848']"
"['سقيا بنى غفار', 'ABWA_390E232N_S', '37987.00561797753', 'ARJ_392E238N_O', '37987.00561797753']"
"['خرمة', 'KATH_607E417N_S', '37987.00561797753', 'DARIYAN_529E295N_S', '37987.00561797753']"
"['المخلصة', 'DAYRNASARA_330E311N_S', '37987.00561797753', 'ARISH_045W323N_S', '37987.00561797753']"
"['زردوخ بريدا', 'HAZARASB_610E412N_S', '23504.153846153848', 'KARDARANKHAS_606E413N_S', '17060.5']"
"['قرقيسيا', 'RUHBA_364E276N_R', '37987.00561797753', 'DALIYA_407E347N_S', '37987.00561797753']"
"['فيق', 'TABARIYYA_355E327N_S', '17060.5', 'JASIM_360E329N_S', '37987.00561797753']"
"['نسا', 'SHIRAZ_525E296N_S', '37987.00561797753', 'BAGHDAD_443E333N_S', '37987.00561797753']"
"['خرائب ابى حليمة', 'AQABA_251E314N_S', '37987.00561797753', 'KHIRBAQAWM_261E313N_S', '37987.00561797753']"
