null_node,direct_neighbor1,distance1,direct_neighbor2,distance2
"['الملتان', 'BALIS_380E360N_S', '379870.0561797753', 'QANDABIL_674E286N_S', '379870.0561797753', 2869.162140668797]"
"['راس العقبة', 'TUZ_422E267N_S', '23504.153846153848', 'DARIZ_515E296N_S', '23504.153846153848', 963.5491948900899]"
"['قورية', 'BAJA_092E366N_S', '168936.0', 'MARIDA_063W388N_S', '151948.0224719101', 1385.4421318514896]"
"['سروستان', 'QARYARUMMAN_528E293N_S', '37987.00561797753', 'AZKAS_521E315N_S', '37987.00561797753', 245.57169850360967]"
"['المعلاة', 'RAWHA_392E241N_S', '37987.00561797753', 'BADR_447E138N_R', '37987.00561797753', 1273.8433487593975]"
"['سمیراء', 'TUZ_422E267N_S', '38820', 'HAJIR_417E259N_S', '64053', 98.84327996345921]"
"['فيق', 'TABARIYYA_355E327N_S', '17060.5', 'JASIM_360E329N_S', '37987.00561797753', 54.48572487099039]"
"['خير', 'KATH_607E417N_S', '37987.00561797753', 'NAYRIZ_542E292N_R', '37987.00561797753', 1506.4851905485946]"
"['طرابلس', 'BAYRUT_355E339N_S', '37987.00561797753', 'DIMASHQ_363E335N_S', '84568.0', 84.81940786102258]"
"['قرقيسيا', 'FUDAYN_405E354N_S', '37987.00561797753', 'RUHBA_364E276N_R', '37987.00561797753', 944.7146666632392]"
"['الشبيكة(السنبلة)', 'QUBA_721E405N_S', '52407', 'WAJRA_409E220N_S', '77640', 3578.4770365336503]"
"['الخان حان لنجان', 'KARU_516E317N_S', '37987.00561797753', 'YAHUDIYYA_648E359N_S', '37987.00561797753', 1296.639829225552]"
"['صيدا', 'DIMASHQ_363E335N_S', '84568.0', 'BAYRUT_355E339N_S', '37987.00561797753', 84.81940786102258]"
"['ماذرواستان', 'HULWAN_562E339N_S', '23504.153846153848', 'MARJ_462E343N_S', '37987.00561797753', 921.0104871542969]"
"['نسا', 'BAGHDAD_443E333N_S', '37987.00561797753', 'SHIRAZ_525E296N_S', '37987.00561797753', 879.003948035855]"
"['أشبورقان', 'FARIYAB_649E364N_S', '113961.01685393258', 'BALKH_668E367N_R', '113961.01685393258', 177.17374507992875]"
"['كير حراس', 'NIHAWAND_483E342N_S', '23504.153846153848', 'QASRLUSUS_479E344N_S', '37987.00561797753', 54.601576571987806]"
"['رباط علياباذ', 'SIMNAN_534E354N_S', '37987.00561797753', 'JARMJUWI_540E359N_S', '37987.00561797753', 78.1135192846115]"
"['بخارا', 'JIKAM_647E395N_S', '37987.00561797753', 'BAYKAND_640E395N_S', '37987.00561797753', 57.22691120837041]"
"['وفراوندة', 'DARAQAN_487E334N_S', '37987.00561797753', 'KARAJ_495E338N_R', '37987.00561797753', 87.55214036631959]"
"['الناووسة', 'HIT_428E336N_S', '37987.00561797753', 'ANA_419E344N_S', '37987.00561797753', 117.61115280751163]"
"['نفرة', 'SAMMURA_057W414N_S', '112624.0', 'HUWARA_004E355N_S', '281560.0', 848.587372298107]"
"['زردوخ بريدا', 'HAZARASB_610E412N_S', '23504.153846153848', 'KARDARANKHAS_606E413N_S', '17060.5', 36.313200217853726]"
"['جيحون', 'FIRABR_636E391N_S', '1444.1', 'AMUL_635E390N_S', '2888.2', 14.596765481413467]"
"['يعاث', 'BALABAKK_361E340N_S', '18993.502808988764', 'JUSIYA_365E344N_S', '37987.00561797753', 59.18952975672249]"
"['دير بازما', 'DASKARA_449E339N_S', '37987.00561797753', 'NAHRAWAN_445E334N_S', '23504.153846153848', 64.35504400129543]"
"['عين الحجر', 'BALABAKK_361E340N_S', '37987.00561797753', 'QARUN_357E335N_S', '37987.00561797753', 66.16829692618289]"
"['عميان', 'ZARQA_360E320N_S', '37987.00561797753', 'MAAB_357E312N_S', '37987.00561797753', 96.35188112475096]"
"['سيمور', 'SARANDIB_808E076N_R', '569805.0842696629', 'SANDAN_730E199N_S', '189935.02808988764', 1605.5029279687767]"
"['بدش', 'HADDADA_548E362N_S', '37987.00561797753', 'MURJAN_556E363N_S', '37987.00561797753', 78.77204051757516]"
"['تل حور', 'MALATIN_383E383N_S', '37987.00561797753', 'AMID_402E379N_S', '37987.00561797753', 169.59236117412556]"
"['ناكور', 'TAHIRT_013E353N_R', '1139610.1685393257', 'SIJILMASA_042W312N_R', '569805.0842696629', 691.0822189051729]"
"['خرائب ابى حليمة', 'AQABA_251E314N_S', '37987.00561797753', 'KHIRBAQAWM_261E313N_S', '37987.00561797753', 88.77775581911926]"
"['مجدل سلم', 'SUR_352E332N_S', '23504.153846153848', 'BANIYAS_356E332N_S', '23504.153846153848', 43.73643685244679]"
"['بستان بنى عامر', 'MAKKA_398E213N_S', '37987.00561797753', 'DHATIRQ_404E216N_S', '37987.00561797753', 66.64342234814697]"
"['طبوس', 'SHIMSHAT_398E386N_S', '37987.00561797753', 'MALATIN_383E383N_S', '37987.00561797753', 131.37433972389283]"
"['قسطان', 'RAYY_515E356N_S', '37987.00561797753', 'MASHKUYA_507E353N_S', '37987.00561797753', 75.53192863399701]"
"['نيماراه', 'KHASHT_639E343N_S', '37987.00561797753', 'SABUR_515E298N_R', '37987.00561797753', 1272.9946032132834]"
"['قرية الرمل', 'QURQUB_477E321N_S', '37987.00561797753', 'TUSTAR_488E320N_R', '37987.00561797753', 109.40410030760361]"
"['سقيا بنى غفار', 'ARJ_392E238N_O', '37987.00561797753', 'ABWA_390E232N_S', '37987.00561797753', 71.06076805437768]"
"['باحمشا', 'QADISIYYA_441E316N_S', '37987.00561797753', 'UKBARA_442E338N_S', '18993.502808988764', 244.9146330406913]"
"['أوفه', 'MARABADH_630E343N_S', '37987.00561797753', 'KHASHT_639E343N_S', '37987.00561797753', 86.52506230285229]"
"['كه', 'BAMIYAN_678E348N_R', '113961.01685393258', 'MADHAR_678E353N_S', '37987.00561797753', 59.454574999292184]"
"['املوتا', 'AJGH_569E375N_S', '37987.00561797753', 'DINAZARI_559E375N_S', '37987.00561797753', 84.30761686089724]"
"['زامين', 'KHAWAS_688E402N_S', '37987.00561797753', 'SAMARQAND_670E396N_S', '37987.00561797753', 164.67423972490744]"
"['كولسره', 'KHUNAJ_472E373N_S', '37987.00561797753', 'MARAGHA_462E373N_S', '37987.00561797753', 89.34382900869294]"
"['دشت داودي', 'JANNABA_505E296N_S', '37987.00561797753', 'TUZ_422E267N_S', '37987.00561797753', 869.585938063266]"
"['سالوس', 'NATIL_519E364N_S', '37987.00561797753', 'KALLAR_519E307N_S', '37987.00561797753', 639.7255811747909]"
"['خاره', 'RIBATMAYANAH_627E345N_S', '37987.00561797753', 'QARYAMAJUS_541E317N_S', '37987.00561797753', 855.6207230495136]"
"['المدائن', 'BAGHDAD_443E333N_S', '37987.00561797753', 'SIB_448E329N_S', '37987.00561797753', 62.12806661295692]"
"['الغريفة', 'HASHIYYA_398E314N_S', '28156.0', 'QURAKIR_377E313N_S', '28156.0', 196.864765909073]"
"['خرمة', 'DARIYAN_529E295N_S', '37987.00561797753', 'KATH_607E417N_S', '37987.00561797753', 1524.2951734460937]"
"['الغاضرة', 'FAQUS_317E307N_S', '37987.00561797753', 'ISKANDARIYYA_299E311N_S', '37987.00561797753', 187.73453905155858]"
"['منزل ابن بندقة', 'BUWAYB_315E301N_S', '37987.00561797753', 'AJARUD_323E300N_S', '37987.00561797753', 77.99467153881074]"
"['قزدار', 'MASHKA_639E274N_S', '144410.0', 'MANSURA_688E258N_S', '231056.0', 521.2056224918731]"
"['أوزكند', 'USH_728E405N_S', '37987.00561797753', 'AQABA_251E314N_S', '37987.00561797753', 4352.656016145954]"
