name,lat,lng,status
تماجر,null,null,null
بامقرا,39.3345,37.75537,old
إسبيجاب,69.75409,42.23062,old
جنزروذ,56.92513,30.67077,old
سونقين,50.02954,35.0274,old
اشبيلية,-5.96199,37.4079,old
البيضاء,37.01435,26.79044,old
نابلس,35.24238,32.22047,old
فهل فهرة,null,null,null
إسبيدروذ,null,null,null
تمتاج,70.50767,42.56503,old
مرج قيسارية,null,null,null
كروخ,62.54651,34.47814,old
الجبل الأسود,null,null,null
قرية جويم,52.31838087617965,29.849184900271506,new
آبسكون,54.04327,37.02772,old
الكبس,null,null,null
مكناسة,-5.56626,33.91455,old
قرية الحمام,53.16886,29.88067,old
برسخان الأعلى,null,null,null
الشحاجية,42.9665,36.27006,old
سابرخواس,null,null,null
فربر,63.61874,39.17015,old
برقة,20.84475,32.37576,old
القرعون,35.71229,33.57083,old
كفركيلا,null,null,null
بيان,48.03005,30.46468,old
الأرد,null,null,null
صعدة,43.76442,16.9453,old
خواص,61.88374,27.79777,old
خروذ,null,null,null
الرب,43.26055,33.46273,old
الكرج,49.54697,33.88116,old
الأهواز,48.69059,31.32986,old
ينبع,38.12512,24.1082,old
قرية العيون,35.56778,33.36423,old
بوزنجرد,48.98488,34.95777,old
الماحوز,null,null,null
الرمل,63.16025,40.13581,old
النهية,41.5567,34.39307,old
زرمان,66.63169,39.7739,old
المرج,46.22379,34.30577,old
السويدية,35.99387,36.0896,old
دشت ارزن,51.94222,29.6096,old
خرندة,null,null,null
قصر اللصوص,47.90457,34.4958,old
ثمانين,42.64158,37.31295,old
جنابة,50.53898,29.60089,old
راس العقبة,null,null,null
السليلة,41.22235,24.34402,old
مضيق النهر,null,null,null
خابران,49.80777,30.96763,old
فلس,null,null,null
قناة سرى,null,null,null
سرنديب,80.81976,7.60759,old
قلنسوة,34.98155,32.29512,old
الختل,69.75285,37.94076,old
المونسة,41.47066366800256,37.023733077108666,new
قنب,null,null,null
زيادواذ,null,null,null
نوى,null,null,null
الأبواء,39.09484,23.22814,old
السحول,44.03504,14.1937,old
سوق الأربعاء,48.5239,30.94139,old
هزاراسب,61.09517,41.2861,old
بومهان,null,null,null
الزبيدية,46.93427,34.43457,old
بيت سرعا,null,null,null
الطالقان,69.62314,36.76021,old
الأعمشية,43.95032,16.56721,old
مقرة,5.0297,35.54259,old
خشم,49.18674,37.48626,old
الروذان,56.02186,30.39947,old
مزدوران,60.54672,36.17215,old
ويلة,34.94527,29.57226,old
البحیرة,null,null,null
طخفة,43.01192,24.95296,old
محلة القياسين,66.8817,37.44577,old
حليمان,22.203,32.77902,old
جبال الديلم,null,null,null
كولسره,null,null,null
بلد روب,null,null,null
عين الحجر,null,null,null
المحراقة,null,null,null
أبین,null,null,null
أسبيذدشت,null,null,null
جرمجوى,54.04249,35.97336,old
حروري,62.39332,31.2857,old
كران,52.86193,27.76342,old
الدالية,40.74111,34.71355,old
عضوة,null,null,null
خوى,44.99055,38.5865,old
مالقة,-4.43066,36.74791,old
جزه,62.3861,31.9686,old
هروك,null,null,null
كسكانة,null,null,null
رباط تاش,63.82036,39.99849,old
رائين,null,null,null
شمشاط,39.83119,38.61412,old
كرم,53.608,29.07233,old
السونشة,null,null,null
رباط جرا,null,null,null
طميسة,54.05573,36.7312,old
ترمانة,null,null,null
حصن صاعس,null,null,null
ماءين,null,null,null
اشبورقان,65.78352,36.65136,old
خربة القوم,26.11423,31.35376,old
باب الحديد,67.03158,38.22114,old
المنصورة,68.87697,25.8651,old
هرموز,56.94955,27.0994,old
قنوان,null,null,null
قنى غياث,null,null,null
المعدن,-9.19189,38.64984,old
واسط,46.32308,32.19497,old
الزبداني,36.08756,33.73115,old
مسجد أويس,null,null,null
طزر,46.4404,34.16749,old
الكلاية,36.07695,27.50168,old
ورثان,47.64257,39.56659,old
جعاد وجورد,null,null,null
نسفان,44.8432,14.02916,old
ملعب الملك,null,null,null
زانبوق,61.91899,30.99252,old
