FARAMA_325E310N_S	[32.59811, 31.02282]	ISKANDARIYYA_299E311N_S	[29.90981, 31.1949]
[21.46201, 39.1779]	[39.1779, 21.46201]	JURJIR_321E309N_S	[38.56070545468562, 21.510805097491712]
[30.71061, 31.79581]	[31.79581, 30.71061]	الغاضرة,Egypt	[31.127603988734027, 30.758826680262775]
FARAMA_325E310N_S	[32.59811, 31.02282]	ISKANDARIYYA_299E311N_S	[29.90981, 31.1949]
[21.46201, 39.1779]	[39.1779, 21.46201]	الرصد,Egypt	[38.766482838532646, 21.49479188601835]
FARAMA_325E310N_S	[32.59811, 31.02282]	RAMLA_348E319N_S	[34.86436, 31.92484]
[21.46201, 39.1779]	[39.1779, 21.46201]	BAQQARA_331E310N_S	[39.59130477952448, 21.645655794461092]
[21.645655794461092, 39.59130477952448]	[39.59130477952448, 21.645655794461092]	WARRADA_335E310N_S	[40.00523820026617, 21.829296802521156]
FARAMA_325E310N_S	[32.59811, 31.02282]	RAMLA_348E319N_S	[34.86436, 31.92484]
[21.46201, 39.1779]	[39.1779, 21.46201]	DAYRNASARA_330E311N_S	[39.4361552841495, 21.576908117662]
[21.576908117662, 39.4361552841495]	[39.4361552841495, 21.576908117662]	المخلصة,Egypt	[39.694616056791595, 21.69180506722277]
FARAMA_325E310N_S	[32.59811, 31.02282]	SUKKARIYYA_346E315N_S	[34.65335, 31.56416]
FARAMA_325E310N_S	[32.59811, 31.02282]	SUKKARIYYA_346E315N_S	[34.65335, 31.56416]
FARAMA_325E310N_S	[32.59811, 31.02282]	KANISA_349E327N_S	[34.95381, 32.7475]
[31.92484, 34.86436]	[34.86436, 31.92484]	ARSUF_348E321N_S	[35.156547697514014, 32.14251606001843]
FARAMA_325E310N_S	[32.59811, 31.02282]	KANISA_349E327N_S	[34.95381, 32.7475]
FARAMA_325E310N_S	[32.59811, 31.02282]	KANISA_349E327N_S	[34.95381, 32.7475]
FARAMA_325E310N_S	[32.59811, 31.02282]	KANISA_349E327N_S	[34.95381, 32.7475]
BAJA_078W380N_R	[-7.80444, 38.00689]	SHANTARIN_087W392N_S	[-8.71712, 39.22337]
BAJA_078W380N_R	[-7.80444, 38.00689]	LABLA_066W373N_S	[-6.66965, 37.38969]
[38.00689, -7.80444]	[-7.80444, 38.00689]	FAHSBALLUT_048W386N_R	[-7.661714058906804, 37.930422925401885]
BAJA_078W380N_R	[-7.80444, 38.00689]	MARIDA_063W388N_S	[-6.32886, 38.89521]
BAJA_078W380N_R	[-7.80444, 38.00689]	ISHBILIYYA_059W374N_R	[-5.96199, 37.4079]
[38.00689, -7.80444]	[-7.80444, 38.00689]	QARMUNA_056W374N_S	[-6.796892277485012, 37.68408482558712]
BAJA_078W380N_R	[-7.80444, 38.00689]	QURTUBA_047W379N_S	[-4.78135, 37.91898]
BAJA_078W380N_R	[-7.80444, 38.00689]	ARJUNA_040W379N_S	[-4.053, 37.9204]
BAJA_078W380N_R	[-7.80444, 38.00689]	WADIHIJARA_031W406N_R	[-3.15111, 40.6491]
[37.91898, -4.78135]	[-4.78135, 37.91898]	TULAYTILA_040W398N_R	[-3.5306518688911765, 38.66817911761651]
SHUQUQ_434E290N_S	[43.41491, 29.08495]	RAWHA_392E241N_S	[39.2976, 24.11893]
[29.08495, 43.41491]	[43.41491, 29.08495]	البطان,Badiyat al-Arab	[43.09216921302894, 28.715605348801066]
[27.91046, 43.13666]	[43.13666, 27.91046]	AJFUR_429E274N_S	[42.872321267456144, 27.60486284009478]
[27.60486284009478, 42.872321267456144]	[42.872321267456144, 27.60486284009478]	FAYD_425E270N_S	[42.47745504366849, 27.146287055088823]
[27.146287055088823, 42.47745504366849]	[42.47745504366849, 27.146287055088823]	TUZ_422E267N_S	[42.13861969227746, 26.751476628157924]
[26.751476628157924, 42.13861969227746]	[42.13861969227746, 26.751476628157924]	SAMIRA_420E264N_S	[41.92050183348582, 26.49685564561472]
[26.49685564561472, 41.92050183348582]	[41.92050183348582, 26.49685564561472]	HAJIR_417E259N_S	[41.56191078643685, 26.07655869663207]
[25.5536, 41.52796]	[41.52796, 25.5536]	BATNNAKHL_400E248N_R	[41.09703596879498, 25.044062175203813]
[24.47782, 39.60908]	[39.60908, 24.47782]	RUWAYTHA_392E240N_S	[39.39502698727095, 24.223215181413767]
SHUQUQ_434E290N_S	[43.41491, 29.08495]	SUQYAYAZID_383E261N_S	[38.35433, 26.15916]
[24.47782, 39.60908]	[39.60908, 24.47782]	SUWAYDA_390E250N_S	[39.16180054092375, 24.222956852162103]
TAZAR_464E341N_S	[46.4404, 34.16749]	ZUBAYDIYYA_468E342N_S	[46.85168, 34.23099]
TAZAR_464E341N_S	[46.4404, 34.16749]	HULWAN_459E344N_S	[45.93468, 34.47862]
TAZAR_464E341N_S	[46.4404, 34.16749]	UMAN_564E238N_R	[56.45284, 23.82088]
FARAH_620E323N_S	[62.06561, 32.35928]	NIH_600E315N_S	[60.05406, 31.5777]
FARAH_620E323N_S	[62.06561, 32.35928]	TAQ_621E306N_S	[62.12651, 30.68777]
FARAH_620E323N_S	[62.06561, 32.35928]	ZARANJ_616E307N_S	[61.61613, 30.7594]
FARAH_620E323N_S	[62.06561, 32.35928]	QARINAYN_624E365N_S	[62.44974, 36.5754]
