node_without_coord,nearest_coords
السكير,"[['FUDAYN_405E354N_S', 1], ['QARQISIYYA_404E351N_S', 2]]"
ماذرواستان,"[['MARJ_462E343N_S', 1], ['HULWAN_562E339N_S', 1]]"
جب أمير المؤمنين,"[['HARA_621E343N_R', 1], ['RASDUNYA_537E300N_S', 1]]"
شروراح,"[['THUJJA_441E139N_R', 1], ['MAHJARA_435E176N_S', 1]]"
الاذقية,"[['ANTAKIYYA_361E361N_S', 1], ['TIZIN_367E362N_S', 2]]"
دره,"[['FARAH_620E323N_S', 1], ['NIH_600E315N_S', 2]]"
جرموا,"[['DARABAJIRD_545E287N_S', 1], ['MURAYZIJAN_543E288N_S', 2]]"
الخان حان لنجان,"[['YAHUDIYYA_648E359N_S', 1], ['KARU_516E317N_S', 1]]"
ناكور,"[['TAHIRT_013E353N_R', 1], ['SIJILMASA_042W312N_R', 1]]"
الملتان,"[['QANDABIL_674E286N_S', 1], ['BASMAD_708E291N_S', 1]]"
ترمانة,"[['WASIT_463E321N_S', 1], ['FARUTH_465E318N_S', 2]]"
المشهد,"[['NAYSABUR_587E361N_R', 3], ['RIWAND_583E361N_S', 4]]"
فهل فهرة,"[['RASK_612E267N_S', 1], ['ROUTPOINT1910_615E271N_O', 2]]"
صامغر,"[['KHUJANDA_696E402N_S', 1], ['TURMUGHAN_708E407N_S', 2]]"
بدا یعقوب,[]
دارجين,"[['BAMM_583E291N_S', 1], ['KURM_536E290N_S', 2]]"
الدولاب,"[['DIZ_484E329N_S', 1], ['IDHAJ_498E318N_S', 2]]"
نمخكن,"[['DARIN_501E262N_S', 1], ['QATIF_499E265N_S', 2]]"
أوزكند,"[['AQABA_251E314N_S', 1], ['USH_728E405N_S', 1]]"
مجدل سلم,"[['BANIYAS_356E332N_S', 1], ['SUR_352E332N_S', 1]]"
يافه,"[['ASQALAN_345E316N_S', 1], ['RAMLA_348E319N_S', 1]]"
دخويذ,"[['KHAWADHAN_515E302N_S', 1], ['DAKHWID_512E303N_S', 2]]"
الکلایة,"[['ARA_355E280N_S', 1], ['MADYANSHUAYB_350E284N_S', 2]]"
جهينة,"[['JURJAN_552E371N_R', 1], ['DAYLAMAN_505E366N_R', 2]]"
الناووسة,"[['HIT_428E336N_S', 1], ['ANA_419E344N_S', 1]]"
شاباوك,"[['RADHAN_547E301N_S', 1], ['HARA_544E301N_S', 2]]"
كول,"[['KAFRAH_524E295N_S', 1], ['JUR_525E288N_S', 2]]"
أجم,"[['AHWAZ_486E313N_R', 1], ['SHURAB_487E312N_S', 2]]"
شاواب,"[['ISBIJAB_697E422N_R', 1], ['TAMTAJ_705E425N_S', 2]]"
خوزن,"[['AWA_505E346N_S', 2], ['KARAJ_495E338N_R', 2]]"
تبسة,"[['DUFANA_066E354N_S', 2], ['TUBNA_053E353N_S', 2]]"
قرية الرصد,"[['KHASHM_491E374N_S', 1], ['KUHANRUDH_490E377N_S', 2]]"
النقموذية,[]
الخرقان,"[['TABRIZ_463E380N_S', 1], ['ROUTPOINT1605_458E382N_O', 2]]"
الدامغان,"[['HADDADA_548E362N_S', 1], ['JARMJUWI_540E359N_S', 1]]"
كماهنك,"[['QARYAIBNBUNDAR_530E301N_S', 1], ['ISTAKHR_529E299N_S', 2]]"
دير بازما,"[['DASKARA_449E339N_S', 1], ['NAHRAWAN_445E334N_S', 1]]"
الرحیل,"[['BASRA_058W348N_S', 2], ['KUFA_443E320N_S', 3]]"
طباش,"[['AQABA_251E314N_S', 1], ['KHARAIBABUHALIMA_255E314N_S', 2]]"
نريز,[]
جب الميدعان,"[['JIYADSAGHIR_239E319N_S', 1], ['JUBBMAYDAN_233E321N_S', 2]]"
الخزیمیة,[]
قرية غرم,"[['KHAYSAR_673E324N_S', 3], ['RIBATSARAB_663E318N_S', 3]]"
بلد ابن الملاين,[]
صيدا,"[['DIMASHQ_363E335N_S', 1], ['JABALLUBNAN_359E341N_O', 1]]"
شاوكث,"[['KHUJANDA_696E402N_S', 1], ['ROUTPOINT1726_696E402N_O', 2]]"
برك,"[['TARIM_558E281N_S', 1], ['DIHBARIST_561E277N_S', 2]]"
كورد وكلار,"[['JAFARABADH_518E311N_S', 2], ['SUMAYRAM_518E313N_S', 3]]"
