REG_MACRO	LAT	LON	COLOR
Antarctica	-75.250973	-0.071389	Black
Western Africa	9.84456405882353	-6.65083229411765	Black
Southern Europe	41.20148417647059	14.134280411764706	Black
Eastern Europe	49.7270375	31.708062599999998	Black
Western Europe	48.3439821111111	7.589095333333335	Black
Eastern Asia	35.6566975	116.813873	Black
South-East Asia	8.085290625	108.80991474999999	Black
Eastern Africa	-5.221775352941176	39.091805470588234	Black
Southern Africa	-26.3956174	25.1624512	Black
Central Africa	1.666602777777778	15.108555888888885	Black
Central America	13.302835142857143	-86.22994685714285	Black
South America	-11.37651246153846	-63.619431307692324	Black
Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
North Africa	26.278070285714282	9.92387657142857	Black
South-Central Asia	29.74557607142857	73.26570192857143	Black
North America	38.95170233333334	-101.53748200000001	Black
Northern Europe	59.73217858333334	4.6369705833333335	Black
Caribbean	17.17706395652174	-66.49738608695651	Black
