REG_MESO	LAT	LON	COLOR	REG_MACRO
Afghanistan	33.93911	67.709953	Black	South-Central Asia
Albania	41.153332	20.168331	Black	Southern Europe
Algeria	28.033886	1.659626	Black	North Africa
Armenia	40.069099	45.038189	Black	Western Asia and Middle East
Austria	47.516231	14.550072	Black	Western Europe
Azerbaijan	40.143105	47.576927	Black	Western Asia and Middle East
Bosnia	43.915886	17.679076	Black	Southern Europe
China	35.86166	104.195397	Black	Eastern Asia
Cyprus	35.126413	33.429859	Black	Southern Europe
Egypt	26.820553	30.802498	Black	North Africa
France	46.227638	2.213749	Black	Western Europe
Georgia	42.315407	43.356892	Black	Western Asia and Middle East
Germany	51.165691	10.451526	Black	Western Europe
Greece	39.074208	21.824312	Black	Southern Europe
Hungary	47.162494	19.503304	Black	Eastern Europe
India	20.593684	78.96288	Black	South-Central Asia
Indonesia	-0.789275	113.921327	Black	South-East Asia
Iran	32.427908	53.688046	Black	South-Central Asia
Iraq	33.223191	43.679291	Black	Western Asia and Middle East
Israel	31.046051	34.851612	Black	Western Asia and Middle East
Italy	41.87194	12.56738	Black	Southern Europe
Lebanon	33.854721	35.862285	Black	Western Asia and Middle East
Libya	26.3351	17.228331	Black	North Africa
Mongolia	46.862496	103.846656	Black	Eastern Asia
Morocco	31.791702	-7.09262	Black	North Africa
Netherlands	52.132633	5.291266	Black	Western Europe
Oman	21.512583	55.923255	Black	Western Asia and Middle East
Pakistan	30.375321	69.345116	Black	South-Central Asia
Portugal	39.399872	-8.224454	Black	Southern Europe
Russia	61.52401	105.318756	Black	Eastern Europe
Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East
Spain	40.463667	-3.74922	Black	Southern Europe
Sudan	12.862807	30.217636	Black	North Africa
Syria	34.802075	38.996815	Black	Western Asia and Middle East
Tunisia	33.886917	9.537499	Black	North Africa
Turkey	38.963745	35.243322	Black	Southern Europe
USA	37.09024	-95.712891	Black	North America
United Kingdom	55.378051	-3.435973	Black	Northern Europe
Uzbekistan	41.377491	64.585262	Black	South-Central Asia
Yemen	15.552727	48.516388	Black	Western Asia and Middle East
