URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO
cairo	cairo	cairo	TYPE	LAT	LON	Egypt
egypt	egypt	egypt	TYPE	LAT	LON	Egypt
syria	syria	syria	TYPE	LAT	LON	Syria
istanbul	istanbul	istanbul	TYPE	LAT	LON	Turkey
bag̲h̲dād	bag̲h̲dād	bag̲h̲dād	TYPE	LAT	LON	Iraq
damascus	damascus	damascus	TYPE	LAT	LON	Syria
ʿirāḳ	ʿirāḳ	ʿirāḳ	TYPE	LAT	LON	Iraq
london	london	london	TYPE	LAT	LON	United Kingdom
french	french	french	TYPE	LAT	LON	France
mecca	mecca	mecca	TYPE	LAT	LON	Saudi Arabia
egyptian	egyptian	egyptian	TYPE	LAT	LON	Egypt
beirut	beirut	beirut	TYPE	LAT	LON	Lebanon
british	british	british	TYPE	LAT	LON	United Kingdom
iran	iran	iran	TYPE	LAT	LON	Iran
turkey	turkey	turkey	TYPE	LAT	LON	Turkey
medina	medina	medina	TYPE	LAT	LON	Saudi Arabia
indian	indian	indian	TYPE	LAT	LON	India
anatolia	anatolia	anatolia	TYPE	LAT	LON	Turkey
arabia	arabia	arabia	TYPE	LAT	LON	Saudi Arabia
morocco	morocco	morocco	TYPE	LAT	LON	Morocco
mongol	mongol	mongol	TYPE	LAT	LON	Mongolia
iranian	iranian	iranian	TYPE	LAT	LON	Iran
tehran	tehran	tehran	TYPE	LAT	LON	Iran
aleppo	aleppo	aleppo	TYPE	LAT	LON	Syria
k̲h̲urāsān	k̲h̲urāsān	k̲h̲urāsān	TYPE	LAT	LON	Iran
baṣra	baṣra	baṣra	TYPE	LAT	LON	Iraq
leiden	leiden	leiden	TYPE	LAT	LON	Netherlands
syrian	syrian	syrian	TYPE	LAT	LON	Syria
russian	russian	russian	TYPE	LAT	LON	Russia
jerusalem	jerusalem	jerusalem	TYPE	LAT	LON	Israel
yemen	yemen	yemen	TYPE	LAT	LON	Yemen
palestine	palestine	palestine	TYPE	LAT	LON	Israel
iṣfahān	iṣfahān	iṣfahān	TYPE	LAT	LON	Iran
ankara	ankara	ankara	TYPE	LAT	LON	Turkey
dihlī	dihlī	dihlī	TYPE	LAT	LON	India
berlin	berlin	berlin	TYPE	LAT	LON	Germany
kūfa	kūfa	kūfa	TYPE	LAT	LON	Iraq
ḥid̲j̲āz	ḥid̲j̲āz	ḥid̲j̲āz	TYPE	LAT	LON	Saudi Arabia
france	france	france	TYPE	LAT	LON	France
tunis	tunis	tunis	TYPE	LAT	LON	Tunisia
russia	russia	russia	TYPE	LAT	LON	Russia
al-andalus	al-andalus	al-andalus	TYPE	LAT	LON	Spain
roman	roman	roman	TYPE	LAT	LON	Italy
fārs	fārs	fārs	TYPE	LAT	LON	Iran
chinese	chinese	chinese	TYPE	LAT	LON	China
cambridge	cambridge	cambridge	TYPE	LAT	LON	United Kingdom
algiers	algiers	algiers	TYPE	LAT	LON	Algeria
china	china	china	TYPE	LAT	LON	China
byzantines	byzantines	byzantines	TYPE	LAT	LON	Turkey
algeria	algeria	algeria	TYPE	LAT	LON	Algeria
constantinople	constantinople	constantinople	TYPE	LAT	LON	Turkey
leipzig	leipzig	leipzig	TYPE	LAT	LON	Germany
tunisia	tunisia	tunisia	TYPE	LAT	LON	Tunisia
alexandria	alexandria	alexandria	TYPE	LAT	LON	Egypt
greeks	greeks	greeks	TYPE	LAT	LON	Greece
cordova	cordova	cordova	TYPE	LAT	LON	Spain
german	german	german	TYPE	LAT	LON	Germany
arabian	arabian	arabian	TYPE	LAT	LON	Saudi Arabia
afg̲h̲ānistān	afg̲h̲ānistān	afg̲h̲ānistān	TYPE	LAT	LON	Afghanistan
portuguese	portuguese	portuguese	TYPE	LAT	LON	Portugal
tabrīz	tabrīz	tabrīz	TYPE	LAT	LON	Iran
ifrīḳiya	ifrīḳiya	ifrīḳiya	TYPE	LAT	LON	Tunisia
buk̲h̲ārā	buk̲h̲ārā	buk̲h̲ārā	TYPE	LAT	LON	Uzbekistan
ād̲h̲arbāyd̲j̲ān	ād̲h̲arbāyd̲j̲ān	ād̲h̲arbāyd̲j̲ān	TYPE	LAT	LON	Azerbaijan
italian	italian	italian	TYPE	LAT	LON	Italy
euphrates	euphrates	euphrates	TYPE	LAT	LON	Iraq
moroccan	moroccan	moroccan	TYPE	LAT	LON	Morocco
hindu	hindu	hindu	TYPE	LAT	LON	India
samarḳand	samarḳand	samarḳand	TYPE	LAT	LON	Uzbekistan
kirmān	kirmān	kirmān	TYPE	LAT	LON	Iran
lebanon	lebanon	lebanon	TYPE	LAT	LON	Lebanon
s̲h̲īrāz	s̲h̲īrāz	s̲h̲īrāz	TYPE	LAT	LON	Iran
wiesbaden	wiesbaden	wiesbaden	TYPE	LAT	LON	Germany
harāt	harāt	harāt	TYPE	LAT	LON	Afghanistan
tripoli	tripoli	tripoli	TYPE	LAT	LON	Libya
fās	fās	fās	TYPE	LAT	LON	Morocco
mesopotamia	mesopotamia	mesopotamia	TYPE	LAT	LON	Iraq
būlāḳ	būlāḳ	būlāḳ	TYPE	LAT	LON	Egypt
andalusian	andalusian	andalusian	TYPE	LAT	LON	Spain
byzantium	byzantium	byzantium	TYPE	LAT	LON	Turkey
ḥaydarābād	ḥaydarābād	ḥaydarābād	TYPE	LAT	LON	India
transoxania	transoxania	transoxania	TYPE	LAT	LON	Uzbekistan
vienna	vienna	vienna	TYPE	LAT	LON	Austria
sudan	sudan	sudan	TYPE	LAT	LON	Sudan
rome	rome	rome	TYPE	LAT	LON	Italy
ḵh̲urāsān	ḵh̲urāsān	ḵh̲urāsān	TYPE	LAT	LON	Iran
nile	nile	nile	TYPE	LAT	LON	Egypt
edirne	edirne	edirne	TYPE	LAT	LON	Turkey
sind	sind	sind	TYPE	LAT	LON	Pakistan
asia minor	asia minor	asia minor	TYPE	LAT	LON	Turkey
gud̲j̲arāt	gud̲j̲arāt	gud̲j̲arāt	TYPE	LAT	LON	India
bursa	bursa	bursa	TYPE	LAT	LON	Turkey
calcutta	calcutta	calcutta	TYPE	LAT	LON	India
kaʿba	kaʿba	kaʿba	TYPE	LAT	LON	Saudi Arabia
mas̲h̲had	mas̲h̲had	mas̲h̲had	TYPE	LAT	LON	Iran
armenia	armenia	armenia	TYPE	LAT	LON	Armenia
rayy	rayy	rayy	TYPE	LAT	LON	Iran
ʿumān	ʿumān	ʿumān	TYPE	LAT	LON	Oman
tigris	tigris	tigris	TYPE	LAT	LON	Iraq
lahore	lahore	lahore	TYPE	LAT	LON	Pakistan
porte	porte	porte	TYPE	LAT	LON	Turkey
bengal	bengal	bengal	TYPE	LAT	LON	India
pakistan	pakistan	pakistan	TYPE	LAT	LON	Pakistan
deccan	deccan	deccan	TYPE	LAT	LON	India
granada	granada	granada	TYPE	LAT	LON	Spain
anatolian	anatolian	anatolian	TYPE	LAT	LON	Turkey
mawṣil	mawṣil	mawṣil	TYPE	LAT	LON	Iraq
pand̲j̲āb	pand̲j̲āb	pand̲j̲āb	TYPE	LAT	LON	India
tlemcen	tlemcen	tlemcen	TYPE	LAT	LON	Algeria
balk̲h̲	balk̲h̲	balk̲h̲	TYPE	LAT	LON	Iran
venice	venice	venice	TYPE	LAT	LON	Italy
nīs̲h̲āpūr	nīs̲h̲āpūr	nīs̲h̲āpūr	TYPE	LAT	LON	Iran
seville	seville	seville	TYPE	LAT	LON	Spain
moscow	moscow	moscow	TYPE	LAT	LON	Russia
meccan	meccan	meccan	TYPE	LAT	LON	Saudi Arabia
k̲h̲wārazm	k̲h̲wārazm	k̲h̲wārazm	TYPE	LAT	LON	Uzbekistan
jordan	jordan	jordan	TYPE	LAT	LON	Syria
afg̲h̲ān	afg̲h̲ān	afg̲h̲ān	TYPE	LAT	LON	Afghanistan
kābul	kābul	kābul	TYPE	LAT	LON	Afghanistan
bombay	bombay	bombay	TYPE	LAT	LON	India
muslim spain	muslim spain	muslim spain	TYPE	LAT	LON	Spain
