URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
cairo	cairo	cairo	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
egypt	egypt	egypt	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
syria	syria	syria	TYPE	LAT	LON	Syria	34.802075	38.996815	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
istanbul	istanbul	istanbul	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
bag̲h̲dād	bag̲h̲dād	bag̲h̲dād	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
damascus	damascus	damascus	TYPE	LAT	LON	Syria	34.802075	38.996815	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
ʿirāḳ	ʿirāḳ	ʿirāḳ	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
london	london	london	TYPE	LAT	LON	United Kingdom	55.378051	-3.435973	Black	Northern Europe	59.73217858333334	4.6369705833333335	Black
french	french	french	TYPE	LAT	LON	France	46.227638	2.213749	Black	Western Europe	48.3439821111111	7.589095333333335	Black
mecca	mecca	mecca	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
egyptian	egyptian	egyptian	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
beirut	beirut	beirut	TYPE	LAT	LON	Lebanon	33.854721	35.862285	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
british	british	british	TYPE	LAT	LON	United Kingdom	55.378051	-3.435973	Black	Northern Europe	59.73217858333334	4.6369705833333335	Black
