id,diedAt,country
HA0001,220,MACROREG-IRAN
HA0001,220,MACROREG-IRAQ
HA0001,220,MACROREG-MAWARANNAHR
HA0001,220,MACROREG-SYRIA
HA0002,1053,MACROREG-ARABIA
HA0002,1053,MACROREG-INDIA
HA0003,141,MACROREG-IRAQ
HA0004,220,MACROREG-IRAQ
HA0006,163,MACROREG-ARABIA
HA0006,163,MACROREG-IRAN
HA0007,188,MACROREG-IRAQ
HA0008,211,MACROREG-MAWARANNAHR
HA0009,224,MACROREG-IRAN
HA0009,224,MACROREG-IRAQ
HA0010,225,MACROREG-IRAQ
HA0011,243,MACROREG-IRAQ
HA0013,246,MACROREG-IRAQ
HA0014,247,MACROREG-IRAQ
HA0015,249,MACROREG-ANDALUS
HA0016,250,MACROREG-IRAQ
HA0017,259,MACROREG-SYRIA
HA0018,266,MACROREG-IRAN
HA0020,0,MACROREG-IRAQ
HA0021,280,MACROREG-IRAN
HA0022,283,MACROREG-IRAQ
HA0023,282,MACROREG-SYRIA
HA0024,285,MACROREG-IRAQ
HA0025,292,MACROREG-IRAQ
HA0026,294,MACROREG-MAWARANNAHR
HA0027,298,MACROREG-IRAN
HA0027,298,MACROREG-IRAQ
HA0029,301,MACROREG-IRAN
HA0030,303,MACROREG-IRAN
HA0031,311,MACROREG-IRAQ
HA0032,322,MACROREG-IRAQ
HA0033,295,MACROREG-IRAQ
HA0034,320,MACROREG-IRAQ
HA0035,323,MACROREG-IRAQ
HA0036,335,MACROREG-IRAQ
HA0037,330,MACROREG-IRAQ
HA0038,340,MACROREG-IRAN
HA0038,340,MACROREG-MAWARANNAHR
HA0039,340,MACROREG-EGYPT
HA0039,340,MACROREG-MAWARANNAHR
HA0041,351,MACROREG-IRAQ
HA0042,353,MACROREG-IRAN
HA0043,370,MACROREG-EGYPT
HA0044,376,MACROREG-IRAN
HA0045,384,MACROREG-IRAQ
HA0046,385,MACROREG-IRAN
HA0047,391,MACROREG-IRAN
HA0047,391,MACROREG-IRAQ
HA0048,400,MACROREG-IRAN
HA0048,400,MACROREG-MAWARANNAHR
HA0049,350,MACROREG-IRAQ
HA0050,360,MACROREG-IRAQ
HA0051,383,MACROREG-MAGHRIB
HA0052,400,MACROREG-SYRIA
HA0053,402,MACROREG-ANDALUS
HA0054,418,MACROREG-IRAN
HA0054,418,MACROREG-IRAQ
HA0055,425,MACROREG-SARABIA
HA0056,441,MACROREG-ANDALUS
HA0057,453,MACROREG-MAGHRIB
HA0058,459,MACROREG-IRAN
HA0059,476,MACROREG-IRAN
HA0059,476,MACROREG-IRAQ
HA0060,443,MACROREG-MAGHRIB
HA0061,482,MACROREG-EGYPT
HA0062,518,MACROREG-SYRIA
HA0063,523,MACROREG-ARABIA
HA0063,523,MACROREG-IRAN
HA0064,524,MACROREG-MAWARANNAHR
HA0065,533,MACROREG-ANDALUS
HA0066,534,MACROREG-MAWARANNAHR
HA0067,569,MACROREG-ANDALUS
HA0068,519,MACROREG-IRAN
HA0069,556,MACROREG-IRAQ
HA0070,584,MACROREG-ANDALUS
HA0070,584,MACROREG-SARABIA
HA0071,595,MACROREG-MAWARANNAHR
HA0072,596,MACROREG-EGYPT
HA0072,596,MACROREG-IRAQ
HA0074,577,MACROREG-IRAQ
HA0075,600,MACROREG-MAGHRIB
HA0076,595,MACROREG-SARABIA
HA0078,618,MACROREG-EGYPT
HA0078,618,MACROREG-IRAN
HA0078,618,MACROREG-MAGHRIB
HA0079,628,MACROREG-IRAQ
HA0080,642,MACROREG-SYRIA
HA0081,646,MACROREG-SARABIA
HA0083,649,MACROREG-ANDALUS
HA0084,625,MACROREG-IRAN
HA0085,635,MACROREG-ANDALUS
HA0088,667,MACROREG-SARABIA
HA0089,669,MACROREG-SYRIA
HA0090,671,MACROREG-SYRIA
HA0091,680,MACROREG-IRAQ
HA0091,680,MACROREG-SYRIA
HA0092,684,MACROREG-EGYPT
HA0094,690,MACROREG-SYRIA
HA0095,692,MACROREG-IRAQ
HA0096,693,MACROREG-IRAQ
HA0097,695,MACROREG-SYRIA
HA0098,703,MACROREG-SYRIA
HA0099,710,MACROREG-ANDALUS
HA0101,721,MACROREG-EGYPT
HA0102,722,MACROREG-ARABIA
HA0102,722,MACROREG-IRAN
HA0103,690,MACROREG-MAGHRIB
HA0106,729,MACROREG-SYRIA
HA0108,730,MACROREG-MAGHRIB
HA0109,732,MACROREG-RUM
HA0109,732,MACROREG-SYRIA
HA0110,734,MACROREG-MAGHRIB
HA0111,738,MACROREG-SYRIA
HA0112,742,MACROREG-MAGHRIB
HA0113,744,MACROREG-EGYPT
HA0113,744,MACROREG-SYRIA
HA0114,748,MACROREG-MAGHRIB
HA0115,749,MACROREG-EGYPT
HA0116,757,MACROREG-EGYPT
HA0118,758,MACROREG-SYRIA
HA0119,765,MACROREG-SYRIA
HA0120,769,MACROREG-ANDALUS
HA0121,775,MACROREG-EGYPT
HA0122,777,MACROREG-EGYPT
HA0123,778,MACROREG-SYRIA
HA0124,781,MACROREG-ARABIA
HA0124,781,MACROREG-EGYPT
HA0126,780,MACROREG-ARABIA
HA0126,780,MACROREG-EGYPT
HA0127,790,MACROREG-ARABIA
HA0128,790,MACROREG-EGYPT
HA0128,790,MACROREG-SYRIA
HA0129,790,MACROREG-EGYPT
HA0130,790,MACROREG-ANDALUS
HA0131,799,MACROREG-ARABIA
HA0132,800,MACROREG-EGYPT
