,Aqur,Daylam,Egypt,Faris,Iraq,"Jazirat_al-Arab,Yemen",Jibal,"Khurasan,Sijistan,Transoxiana",Khuzistan,Kirman,"Maghrib,Barqa,Andalus",Rihab,Sham,Sind
ABADHA_526E311N_S,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABADHA_537E297N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAN_552E308N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARKATH_673E397N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARQUH_532E311N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARTA_449E332N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAR_782E284N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABASKUN_540E370N_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABBADAN_482E303N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABBASIYYA_317E305N_S,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ABDAS_473E314N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABDIN_493E312N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHAR_492E361N_S,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABIWARD_595E372N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABKHAN_483E408N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABKHAN_483E408N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNASH_039W396N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSHAYA_317E264N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSHIN_635E352N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSHUR_574E326N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTIA_500E336N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUKHASIB_479E304N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABUQSHA_619E410N_O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABWAB_340E174N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABWA_390E232N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABYAD_424E318N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABYAYN_449E131N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABYAYN_449E131N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABZAR_529E282N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAN_450E127N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADHANA_353E369N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADHARBAYJAN_479E382N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADHNUN_352E333N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADHRAMA_417E369N_S,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADHRIAT_360E326N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADHRUH_357E303N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRASKAR_622E335N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFRAHUN_309E311N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFRIDHIN_517E354N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHAR_471E384N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AHNAS_309E291N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHQAF_508E193N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHSA_495E253N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AHWAR_465E136N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHWAR_466E135N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHWAZ_486E313N_R,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AHWAZ_486E313N_S,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AJARUD_323E300N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJDABIYYA_202E304N_S,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AJFUR_429E274N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJGH_569E375N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJWALI_374E298N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHDAMIYYA_422E322N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHILLA_451E132N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHLAT_425E387N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AKHMIM_317E265N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHSHIKATH_713E409N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHSISAK_652E378N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKHUR_557E391N_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AKHYAS_130E381N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKKA_350E329N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALHAM_522E365N_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALHAN_440E148N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLAQI_328E230N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTH_440E340N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUS_424E339N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMASHIYYA_439E165N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMAWAS_349E318N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMID_402E379N_S,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMLIL_029W352N_S,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMAN_359E319N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AMQ_364E363N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUL_524E364N_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMUL_635E390N_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMZAH_642E399N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAFA_357E343N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAK_367E323N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA_419E344N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANBAR_437E333N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANBAR_659E362N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANDAJARAGH_691E372N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDAKHUDH_651E369N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDARAB_473E401N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDARAB_693E356N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDIKAN_724E408N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANJIRA_544E321N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSINA_308E279N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANS_443E144N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTAKIYYA_361E361N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANTARTUS_359E348N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AQABAFIQ_356E327N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQABARUMMAN_361E338N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQABA_251E314N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQABA_436E300N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQARQUF_441E333N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQIR_348E318N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQRA_378E271N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQSUR_326E257N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABAN_406E360N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAFAT_402E213N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARASKAN_634E357N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARA_355E280N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARA_439E126N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBILAKH_698E408N_S,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARBUNA_030E431N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDABIL_483E382N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARDAKAN_570E279N_S,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARDAKHIWAH_602E421N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDALANKATH_722E412N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDHAKHUSHMITHAN_602E416N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDISTAN_523E333N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARFAJA_386E299N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARFAJA_487E276N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHAB_443E158N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHAN_688E372N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIQA_437E173N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARISH_045W323N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARISH_338E311N_S,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARJAMUSH_358E338N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARJIDUNA_044W370N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARJIKUK_014W352N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARJISH_433E390N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARJUMAN_526E311N_R,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARJUNA_040W379N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARJ_392E238N_O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARKU_072E360N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMABIL_663E262N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARMANT_325E256N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMINIYYA_441E394N_R,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARQA_360E345N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARQA_379E383N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARRAJAN_502E306N_S,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARRAN_471E406N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARSUBANIKATH_696E399N_S,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARSUF_348E321N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARTHA_422E557N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARZAN_416E379N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASADABADH_481E348N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASADABADH_564E363N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASADABADH_626E362N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAK_496E307N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAK_522E358N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASBARA_707E401N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASBARA_735E427N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASBIDHDASHT_511E321N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFABJAY_670E305N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFAQA_622E262N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASFAQUS_108E347N_S,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASFARAYIN_574E369N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFUZAR_621E332N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASFUZAR_621E332N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHAM_412E198N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHIR_031E357N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRASHAL_022E365N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKARMUKRAM_488E316N_R,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASKARMUKRAM_488E316N_S,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASLAN_011W354N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASNA_325E253N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASQALAN_345E316N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASRAB_637E358N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTARABADH_544E367N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTARABYAN_628E342N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASYUT_311E271N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASHKAHAN_567E336N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATBASH_758E411N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATFIH_312E294N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATFU_328E250N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATHAFIT_439E161N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATHARIB_368E361N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMIN_366E353N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRABINUSH_125E379N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRABIYYA_317E307N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRABULUS_131E328N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATRABULUS_358E344N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATRIB_311E304N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRIB_311E304N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTAR_423E171N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTAR_423E171N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL_717E404N_S,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AWAMIL_400E349N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWARIK_579E293N_S,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AWA_505E346N_S,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AWBA_631E344N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWDHANA_102E365N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWFAR_665E398N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWISH_313E310N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWJILA_212E289N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWNID_359E270N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AWNID_369E316N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AWRAHA_795E264N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AWSAJA_440E259N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWSIYA_312E311N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWTAS_406E217N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYDHAB_362E224N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYLAN_076W314N_S,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AYLA_349E295N_S,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AYNJARR_359E337N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYNMUGHATTA_138E373N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYNRUMIYYA_389E363N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYNSHAMS_313E301N_S,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AYNTAMR_435E326N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AYNUNA_351E281N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYUL_667E288N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYWANA_442E338N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZADHWAR_565E366N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZAM_490E312N_S,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AZDUD_346E317N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZILA_059W355N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZKAS_521E315N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZRAQ_368E318N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAASHIQA_433E364N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAAYNATHA_424E366N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABABWAB_483E420N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BABHADID_670E382N_O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIJ_307E308N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIL_444E325N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABNA_624E349N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAB_711E408N_S,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BADAH_499E312N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADAQUN_305E308N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADARAYA_459E330N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADAYAQUB_367E270N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BADA_445E322N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHAKHKATH_701E424N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHAKHSHAN_707E375N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHASH_551E363N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHGHIS_620E346N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADHIBIN_465E321N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BADH_520E335N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADIS_066E347N_S,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BADI_394E156N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BADLIS_421E383N_S,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BADR_388E237N_S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BADR_447E138N_R,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BADURAYA_442E333N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHAY_071E355N_S,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BAGHDAD_443E333N_S,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BAGHIRQAN_612E414N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHLAN_687E362N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHLAN_687E362N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHNIN_650E327N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHNIN_650E327N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHRAS_362E364N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHRAWAND_431E400N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGHSHUR_625E356N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHAR_563E298N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHAWADH_559E318N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHIRABADH_624E368N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHMANABADH_568E363N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHNASA_306E286N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRAJ_606E272N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAHRFARIS_493E299N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRFARIS_533E261N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRKHAZAR_501E425N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRKHAZAR_515E390N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRQULZUM_394E190N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRRUM_017E372N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRRUM_302E322N_W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJANAK_408E486N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJANAK_499E492N_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJARWAN_389E361N_S,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJARWAN_481E392N_R,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAYA_050E367N_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJA_078W380N_R,0,0,0,0,0,0,0,0,0,0,1,0,0,0
